repeat,shot,classifier,feature_set,training,accuracy,macro_f1,selected_parameters
1,3,knn,optimized_full,fixed,0.3826086956521739,0.3723712377047281,
1,3,knn,optimized_full,nested_tuned,0.34782608695652173,0.3452219453672942,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
1,3,mlp,optimized_full,fixed,0.45217391304347826,0.44086003102011434,
1,3,mlp,optimized_full,nested_tuned,0.4260869565217391,0.4166028292085364,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}"
2,3,svm,raw,fixed,0.4260869565217391,0.3889519109908915,
2,3,svm,raw,nested_tuned,0.3826086956521739,0.37205593853957136,"{""model__C"": 0.1, ""model__gamma"": ""scale""}"
2,3,knn,raw,fixed,0.3565217391304348,0.34057423924540425,
2,3,knn,raw,nested_tuned,0.4,0.37029367918902806,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
2,3,mlp,raw,fixed,0.3739130434782609,0.3534830787364294,
2,3,mlp,raw,nested_tuned,0.3130434782608696,0.3003811627465141,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [32]}"
2,3,svm,raw_pca11,fixed,0.5565217391304348,0.5511475879013192,
2,3,svm,raw_pca11,nested_tuned,0.4956521739130435,0.4993530331698457,"{""model__C"": 0.1, ""model__gamma"": 0.01}"
2,3,knn,raw_pca11,fixed,0.4956521739130435,0.4926982851131458,
2,3,knn,raw_pca11,nested_tuned,0.5565217391304348,0.5472475499784338,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
2,3,mlp,raw_pca11,fixed,0.5739130434782609,0.5681600232558625,
2,3,mlp,raw_pca11,nested_tuned,0.5217391304347826,0.5082198645223855,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64]}"
2,3,svm,raw_pca17,fixed,0.7130434782608696,0.7105441671618142,
2,3,svm,raw_pca17,nested_tuned,0.6260869565217392,0.6146639852522205,"{""model__C"": 0.1, ""model__gamma"": 1.0}"
2,3,knn,raw_pca17,fixed,0.6086956521739131,0.607090259108043,
