repeat,classifier,feature_set,accuracy,macro_f1,kappa
11,rf,full,0.8347826086956521,0.8366798116798116,0.8017241379310345
12,rf,full,0.7217391304347827,0.7219798195407953,0.6660617059891107
13,rf,full,0.7652173913043478,0.7610517982786309,0.7188264058679708
14,rf,full,0.7304347826086957,0.7263853698636308,0.6773755656108598
15,rf,full,0.7739130434782608,0.7763098464317976,0.7291421324395326
16,rf,full,0.7565217391304347,0.7513947470301771,0.7079629965536005
17,rf,full,0.6434782608695652,0.6408708312384783,0.5730713509597972
18,rf,full,0.8608695652173913,0.8601730424863842,0.8328943783489238
19,rf,full,0.7652173913043478,0.7632598039215687,0.7173675587110868
0,svm,no_palm,0.8434782608695652,0.8492001115295477,0.8121256126338718
1,svm,no_palm,0.6956521739130435,0.7185091297591297,0.6333242233761502
2,svm,no_palm,0.7478260869565218,0.7524410774410774,0.6981354091238232
3,svm,no_palm,0.7217391304347827,0.7376847588422542,0.6664551799148011
4,svm,no_palm,0.7217391304347827,0.7238106551772262,0.6665156320797463
5,svm,no_palm,0.7565217391304347,0.7581095349828004,0.7088607594936709
6,svm,no_palm,0.7304347826086957,0.7318489775806848,0.6768198712718702
7,svm,no_palm,0.7217391304347827,0.7040051679586563,0.6673295968179354
8,svm,no_palm,0.6086956521739131,0.6013483248777366,0.5291173794358508
9,svm,no_palm,0.8260869565217391,0.834021565114002,0.7907759483307559
10,svm,no_palm,0.6521739130434783,0.6579611394727899,0.5813995813995814
11,svm,no_palm,0.7478260869565218,0.7540337377546679,0.6970109930044517
12,svm,no_palm,0.6608695652173913,0.6727992239190447,0.5922356577870715
13,svm,no_palm,0.7565217391304347,0.7573585949208278,0.7078305053987841
14,svm,no_palm,0.7391304347826086,0.7553788056668539,0.6845570083203804
15,svm,no_palm,0.7217391304347827,0.7332183769565174,0.6663947058290274
16,svm,no_palm,0.7391304347826086,0.7373788582042852,0.6878110578228215
17,svm,no_palm,0.7130434782608696,0.7105104756902384,0.656374501992032
18,svm,no_palm,0.8260869565217391,0.826986378518752,0.7909661001545033
19,svm,no_palm,0.8260869565217391,0.8294471610261085,0.7913075038562744
0,rf,no_palm,0.8521739130434782,0.8484198243748328,0.8222727272727273
1,rf,no_palm,0.7652173913043478,0.765708947828747,0.7187754732361199
2,rf,no_palm,0.782608695652174,0.7784498603132054,0.7397012222725214
3,rf,no_palm,0.7913043478260869,0.7937567757208323,0.7495917256396298
4,rf,no_palm,0.7130434782608696,0.705688368988406,0.6559695403861844
5,rf,no_palm,0.8173913043478261,0.814380045501327,0.7813490267089181
6,rf,no_palm,0.7565217391304347,0.7547522047522047,0.7076978939724038
7,rf,no_palm,0.8260869565217391,0.8220710702097094,0.7917044013765623
8,rf,no_palm,0.6782608695652174,0.6630827058516843,0.6133575647432985
9,rf,no_palm,0.8521739130434782,0.8536201706933415,0.822740048961828
10,rf,no_palm,0.6695652173913044,0.6509117889819644,0.6039155261488263
11,rf,no_palm,0.782608695652174,0.7813409241494541,0.738968585436717
12,rf,no_palm,0.7478260869565218,0.7477936293725768,0.6975056689342403
13,rf,no_palm,0.7739130434782608,0.7776076385983508,0.7285766158315178
14,rf,no_palm,0.7565217391304347,0.7554433070562103,0.7081218274111676
15,rf,no_palm,0.7913043478260869,0.7930234545379186,0.7499093874592244
16,rf,no_palm,0.7565217391304347,0.7540071770334927,0.7081218274111675
17,rf,no_palm,0.7130434782608696,0.7162793886198142,0.6561565642837728
18,rf,no_palm,0.8434782608695652,0.8432557529476656,0.8121426626735638
19,rf,no_palm,0.7652173913043478,0.7588711683848476,0.7177529315516771
0,svm,no_acceleration,0.8347826086956521,0.8402363208320108,0.8016881466690869
1,svm,no_acceleration,0.6521739130434783,0.6783237783237782,0.5806363387729055
2,svm,no_acceleration,0.7217391304347827,0.7145817145817145,0.6672995208389838
3,svm,no_acceleration,0.6782608695652174,0.6939331501831502,0.6143737538517311
4,svm,no_acceleration,0.7391304347826086,0.7460931581304608,0.6872166817769718
5,svm,no_acceleration,0.7565217391304347,0.7587954976252848,0.7088607594936709
6,svm,no_acceleration,0.7217391304347827,0.7232854005428728,0.6667572217694466
7,svm,no_acceleration,0.7304347826086957,0.7159659050059841,0.6776672694394213
8,svm,no_acceleration,0.6695652173913044,0.6652510825443158,0.6024743018284363
9,svm,no_acceleration,0.8173913043478261,0.8286115875738518,0.7800546448087431
10,svm,no_acceleration,0.591304347826087,0.6026870535035719,0.5085470085470085
11,svm,no_acceleration,0.7217391304347827,0.7256862232002569,0.665515360843483
12,svm,no_acceleration,0.6608695652173913,0.6823307475707586,0.5914184203334245
13,svm,no_acceleration,0.7565217391304347,0.7500779337988641,0.707803992740472
14,svm,no_acceleration,0.7043478260869566,0.7218858535594829,0.6430853491556368
15,svm,no_acceleration,0.7130434782608696,0.7237390155619714,0.6559695403861844
16,svm,no_acceleration,0.7304347826086957,0.7297534765774331,0.6773755656108598
17,svm,no_acceleration,0.6695652173913044,0.65931249780771,0.6040590740237383
18,svm,no_acceleration,0.7739130434782608,0.7759821423660237,0.7283546833833014
19,svm,no_acceleration,0.782608695652174,0.7860331361105355,0.7388025801762514
0,rf,no_acceleration,0.8521739130434782,0.8491394965159406,0.8224502769957316
1,rf,no_acceleration,0.8,0.797437661214751,0.7604817531467898
2,rf,no_acceleration,0.782608695652174,0.7792000204538905,0.7396305017207028
3,rf,no_acceleration,0.808695652173913,0.8122335123883112,0.7701880279771096
4,rf,no_acceleration,0.7478260869565218,0.746026874517923,0.6977250067977885
5,rf,no_acceleration,0.8173913043478261,0.8142227834698672,0.7813292285403839
6,rf,no_acceleration,0.7739130434782608,0.7674689832584569,0.7291175937669867
7,rf,no_acceleration,0.8347826086956521,0.8306969346443029,0.8021550162984427
8,rf,no_acceleration,0.6260869565217392,0.6103075492139222,0.5511074800290486
9,rf,no_acceleration,0.8434782608695652,0.846438608938609,0.8122278664731495
10,rf,no_acceleration,0.6782608695652174,0.655971904709351,0.6149669713148131
11,rf,no_acceleration,0.8347826086956521,0.8363372863051938,0.8016161249319048
12,rf,no_acceleration,0.6956521739130435,0.6867719025613762,0.6353836398224477
13,rf,no_acceleration,0.7565217391304347,0.754113135692083,0.7079894803663735
14,rf,no_acceleration,0.7043478260869566,0.6938969136016633,0.6464098390305661
15,rf,no_acceleration,0.782608695652174,0.7830255984941479,0.7396069196630741
16,rf,no_acceleration,0.7739130434782608,0.7735835964334039,0.7290193945985137
17,rf,no_acceleration,0.7130434782608696,0.7143378246006531,0.656343384949742
18,rf,no_acceleration,0.8347826086956521,0.8334794667796505,0.801562074289347
19,rf,no_acceleration,0.8,0.7960518911223544,0.7593485579110181
0,svm,no_temporal,0.8173913043478261,0.8242183742183743,0.780852994555354
1,svm,no_temporal,0.6434782608695652,0.6711397786170926,0.5699169935236706
2,svm,no_temporal,0.7130434782608696,0.7014199640515429,0.656995661605206
3,svm,no_temporal,0.6956521739130435,0.7112323997381469,0.6349868504579668
4,svm,no_temporal,0.7304347826086957,0.7331688230847894,0.6769955603877866
5,svm,no_temporal,0.7217391304347827,0.730470693016065,0.6675700090334237
6,svm,no_temporal,0.7217391304347827,0.7218395945140131,0.6665458499456325
7,svm,no_temporal,0.7130434782608696,0.7033033168921672,0.6569336467184957
8,svm,no_temporal,0.6434782608695652,0.6432913111524534,0.5713636363636364
9,svm,no_temporal,0.782608695652174,0.7958535187911083,0.7379693765949691
10,svm,no_temporal,0.5826086956521739,0.5944830753358757,0.4984098137210359
11,svm,no_temporal,0.7217391304347827,0.7240188984942247,0.6658191064293497
12,svm,no_temporal,0.6608695652173913,0.6823518311553286,0.591381195335277
13,svm,no_temporal,0.7478260869565218,0.740738035842075,0.697587957925281
14,svm,no_temporal,0.6956521739130435,0.7138515804460422,0.6324872169466764
15,svm,no_temporal,0.7130434782608696,0.722864566296845,0.6559383499546692
16,svm,no_temporal,0.7217391304347827,0.7236164736164735,0.6670285921100254
17,svm,no_temporal,0.6347826086956522,0.6263943734462603,0.5624603677869372
18,svm,no_temporal,0.7739130434782608,0.7797668783933225,0.7283793604651163
19,svm,no_temporal,0.7565217391304347,0.7618077263174103,0.707485465116279
0,rf,no_temporal,0.8434782608695652,0.8421895196267001,0.8120915032679739
1,rf,no_temporal,0.7652173913043478,0.769575335364809,0.7185970636215334
2,rf,no_temporal,0.7913043478260869,0.7886075636075636,0.7500226428765511
3,rf,no_temporal,0.7652173913043478,0.772826555111536,0.7179324127906976
4,rf,no_temporal,0.7565217391304347,0.7551630823369955,0.7081747326445532
5,rf,no_temporal,0.8,0.7888168488854989,0.7607201013207889
6,rf,no_temporal,0.782608695652174,0.7818945318945318,0.739394488759971
7,rf,no_temporal,0.8608695652173913,0.8589538957960011,0.8334238638421148
8,rf,no_temporal,0.6260869565217392,0.609049816778955,0.5511482254697286
9,rf,no_temporal,0.8434782608695652,0.8481575932600239,0.812176753470647
10,rf,no_temporal,0.6434782608695652,0.6198789440949981,0.5738045738045738
11,rf,no_temporal,0.8173913043478261,0.8177234782415844,0.7808927599346761
12,rf,no_temporal,0.6956521739130435,0.6899013791409775,0.6353175681797589
13,rf,no_temporal,0.6956521739130435,0.684265810093223,0.6348875181422351
14,rf,no_temporal,0.7043478260869566,0.6927755228921719,0.6464098390305661
15,rf,no_temporal,0.7478260869565218,0.7475114840326652,0.697889301567171
16,rf,no_temporal,0.7652173913043478,0.7642182379024484,0.7185205330432418
17,rf,no_temporal,0.6521739130434783,0.6443745478178764,0.5832955883685116
18,rf,no_temporal,0.8521739130434782,0.8514011126618226,0.8224502769957316
19,rf,no_temporal,0.808695652173913,0.8126764232262954,0.7700418105798945
0,svm,l2,0.8,0.8062966880864252,0.7596547024079964
1,svm,l2,0.591304347826087,0.5925898916745599,0.5109482446615996
2,svm,l2,0.7478260869565218,0.7194797041623667,0.6986808818214674
3,svm,l2,0.6086956521739131,0.6240105914503774,0.531334903097265
4,svm,l2,0.6869565217391305,0.7005601295848974,0.6229164769104654
5,svm,l2,0.7130434782608696,0.7222339597292159,0.656343384949742
6,svm,l2,0.5304347826086957,0.5240861208849014,0.43744904429749076
7,svm,l2,0.6434782608695652,0.6330817935859953,0.5733031674208144
8,svm,l2,0.4956521739130435,0.490350478396391,0.3940219860089035
9,svm,l2,0.7739130434782608,0.7839270558625705,0.7281076657270165
10,svm,l2,0.5130434782608696,0.5153478057889823,0.4179846362403976
11,svm,l2,0.7478260869565218,0.7572583996456176,0.6975331035733721
12,svm,l2,0.6521739130434783,0.6622187584711304,0.580559861402389
13,svm,l2,0.6869565217391305,0.698004173004173,0.6240123512850786
14,svm,l2,0.6434782608695652,0.6655194101555691,0.5686974021222101
15,svm,l2,0.591304347826087,0.6101339809971176,0.5109924907264995
16,svm,l2,0.6782608695652174,0.6758565330844437,0.6150714673421386
17,svm,l2,0.6173913043478261,0.601130850536623,0.5417081786070101
18,svm,l2,0.6521739130434783,0.6598933806230699,0.5823876532001815
19,svm,l2,0.7217391304347827,0.7218246820259204,0.6652415173292094
0,rf,l2,0.8347826086956521,0.8297619047619048,0.8012009826221455
1,rf,l2,0.7130434782608696,0.7005013870145449,0.656778511350276
2,rf,l2,0.6782608695652174,0.6666722365075145,0.6151410998552822
3,rf,l2,0.782608695652174,0.7901034010526492,0.7384223455554545
4,rf,l2,0.7130434782608696,0.7127839330653333,0.6558759521218716
5,rf,l2,0.7478260869565218,0.7436958765199444,0.6977524016675729
6,rf,l2,0.8,0.7980821455098511,0.7595673120625398
7,rf,l2,0.782608695652174,0.7835769423778184,0.7393708639289276
8,rf,l2,0.591304347826087,0.5565245478036176,0.5097950299292581
9,rf,l2,0.8173913043478261,0.8219095719095719,0.7809325108853411
10,rf,l2,0.5826086956521739,0.5674645233468764,0.5004524886877828
11,rf,l2,0.7304347826086957,0.7380468323820014,0.6754369992716678
12,rf,l2,0.6782608695652174,0.6761717848927152,0.6137436456063907
13,rf,l2,0.7391304347826086,0.7318941521640525,0.6873300706905927
14,rf,l2,0.7565217391304347,0.7576884945305998,0.7080159593761335
15,rf,l2,0.7565217391304347,0.7631865196160682,0.7076448156891229
16,rf,l2,0.7478260869565218,0.7436151923956801,0.6973958805915978
17,rf,l2,0.7043478260869566,0.681902606321211,0.6452227565556665
18,rf,l2,0.7652173913043478,0.7669573709047394,0.7182906913445836
19,rf,l2,0.7478260869565218,0.7531790193554899,0.6960721771621252
