repeat,classifier,feature_set,accuracy,macro_f1,kappa
4,svm,optimized_full,0.5826086956521739,0.5364209320091673,0.4998187749184487
5,svm,optimized_full,0.4956521739130435,0.49474285416312,0.3962161672852358
6,svm,optimized_full,0.3739130434782609,0.3948372110449215,0.24979614025550412
7,svm,optimized_full,0.48695652173913045,0.49140716803760287,0.3841336116910229
8,svm,optimized_full,0.5130434782608696,0.5227083651552574,0.4163494652891063
9,svm,optimized_full,0.5043478260869565,0.49957614666916994,0.40403673061187384
10,svm,optimized_full,0.4,0.4203752956840538,0.2822901591895802
11,svm,optimized_full,0.4956521739130435,0.4823827561958849,0.3938016904480597
12,svm,optimized_full,0.3565217391304348,0.3661549932240767,0.22986425339366512
13,svm,optimized_full,0.3565217391304348,0.3446570014514265,0.22818791946308714
14,svm,optimized_full,0.4956521739130435,0.48866778866778865,0.3953952139231326
15,svm,optimized_full,0.41739130434782606,0.4276761028793548,0.30138725179073345
16,svm,optimized_full,0.40869565217391307,0.4135342525586428,0.2923717310650621
17,svm,optimized_full,0.3565217391304348,0.32581230259248833,0.23000361925443358
18,svm,optimized_full,0.45217391304347826,0.44195930360544017,0.34243964421855144
19,svm,optimized_full,0.391304347826087,0.386162269487621,0.2661135928525846
0,knn,optimized_full,0.5304347826086957,0.5411621054065876,0.43473511742217363
1,knn,optimized_full,0.4260869565217391,0.41669552669552673,0.3084282460136676
2,knn,optimized_full,0.33043478260869563,0.31904254229835627,0.20081227436823101
3,knn,optimized_full,0.5304347826086957,0.531017131017131,0.43760188371671793
4,knn,optimized_full,0.4956521739130435,0.45662285045552337,0.39473684210526316
5,knn,optimized_full,0.46956521739130436,0.4611787825943718,0.36290981745527195
6,knn,optimized_full,0.391304347826087,0.39765003546638295,0.26997370091593353
7,knn,optimized_full,0.45217391304347826,0.44802078928692995,0.3429167422456012
8,knn,optimized_full,0.41739130434782606,0.4063996767886362,0.3034083717566224
9,knn,optimized_full,0.391304347826087,0.381692612942613,0.2700398984403336
10,knn,optimized_full,0.34782608695652173,0.32581101628821674,0.22199170124481338
11,knn,optimized_full,0.4434782608695652,0.4363917828203543,0.3330312641594926
12,knn,optimized_full,0.34782608695652173,0.3542109751743043,0.21761611030478967
13,knn,optimized_full,0.33043478260869563,0.2975351765464406,0.19631512071156287
14,knn,optimized_full,0.4,0.37930304638697687,0.28326257790624154
15,knn,optimized_full,0.43478260869565216,0.4350923159771676,0.3214415395787945
16,knn,optimized_full,0.40869565217391307,0.41429076634420525,0.28980110798292613
17,knn,optimized_full,0.28695652173913044,0.27065125168573445,0.1473008409440274
18,knn,optimized_full,0.45217391304347826,0.4488601407206058,0.3427379116392997
19,knn,optimized_full,0.41739130434782606,0.3940883208625144,0.2982695810564663
0,rf,optimized_full,0.6782608695652174,0.6832133687878232,0.6139188821341076
1,rf,optimized_full,0.6869565217391305,0.6791466791466791,0.623807360290777
2,rf,optimized_full,0.4956521739130435,0.4763815459743453,0.3967622320701818
3,rf,optimized_full,0.6,0.6011258954807343,0.5196149654921903
4,rf,optimized_full,0.6347826086956522,0.6019829377952948,0.5618252744261998
5,rf,optimized_full,0.5565217391304348,0.5323022875983098,0.46966271814811456
6,rf,optimized_full,0.3565217391304348,0.3597242279004825,0.22874750770346197
7,rf,optimized_full,0.48695652173913045,0.4854219364897074,0.3850824723581655
8,rf,optimized_full,0.5217391304347826,0.5063640191146456,0.4248431390379195
9,rf,optimized_full,0.5043478260869565,0.4880502341421882,0.40625
10,rf,optimized_full,0.4,0.39064819499928277,0.28157537347215933
11,rf,optimized_full,0.5391304347826087,0.5335374989473952,0.44681430386640053
12,rf,optimized_full,0.45217391304347826,0.4490003166749473,0.3430359085963003
13,rf,optimized_full,0.4,0.40276752799139387,0.2795532958053386
14,rf,optimized_full,0.5043478260869565,0.4916114053958665,0.4076450388577625
15,rf,optimized_full,0.5130434782608696,0.5085093065346784,0.4156079854809437
16,rf,optimized_full,0.4434782608695652,0.43512579565211146,0.3331521246715591
17,rf,optimized_full,0.4260869565217391,0.40744520397404577,0.31256226791051533
18,rf,optimized_full,0.3739130434782609,0.37515262515262515,0.24836601307189543
19,rf,optimized_full,0.5478260869565217,0.5389521578536919,0.456709366766603
0,mlp,optimized_full,0.5130434782608696,0.5295405661995233,0.41411935953420675
1,mlp,optimized_full,0.5043478260869565,0.5038466031212036,0.4037114527426545
2,mlp,optimized_full,0.3652173913043478,0.3355057736240248,0.24130140081337548
3,mlp,optimized_full,0.6782608695652174,0.6760383242941383,0.6135682499318864
4,mlp,optimized_full,0.4956521739130435,0.47056640743513495,0.39495645863570394
5,mlp,optimized_full,0.5043478260869565,0.49338738677214594,0.40791256435733003
6,mlp,optimized_full,0.3826086956521739,0.39796637307514676,0.26081839579938415
7,mlp,optimized_full,0.4782608695652174,0.48108780954122077,0.37289830046351
8,mlp,optimized_full,0.5217391304347826,0.5258514231961481,0.4277053926891061
9,mlp,optimized_full,0.4782608695652174,0.4625380792047458,0.3751697908177126
10,mlp,optimized_full,0.43478260869565216,0.43925497461730867,0.3216878402903811
11,mlp,optimized_full,0.5043478260869565,0.4978757922136036,0.4026790595954074
12,mlp,optimized_full,0.40869565217391307,0.40084047920811344,0.291409931134469
13,mlp,optimized_full,0.3217391304347826,0.30944760275300626,0.18698450104232756
14,mlp,optimized_full,0.48695652173913045,0.47641259082048554,0.38735891647855525
