shot,classifier,metric,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
10,svm,accuracy,corrected_minus_joint_angle,0.007826086956521747,0.033418919740131545,0.009357297527236831,25,6,19,0.1697481401219899
10,svm,macro_f1,corrected_minus_joint_angle,0.008398642419870522,0.032585538602384244,0.00912395080866759,29,0,21,0.15714035289247086
10,svm,accuracy,optimized_action_minus_joint_angle,-0.002956521739130431,0.03251801885254571,0.009105045278712798,18,5,27,0.4759461478603272
10,svm,macro_f1,optimized_action_minus_joint_angle,-0.001950763048884352,0.03136335365898717,0.008781739024516408,19,0,31,0.47831983611594175
10,svm,accuracy,optimized_action_minus_corrected,-0.010782608695652179,0.02069199821598031,0.005793759500474486,11,8,31,0.0008267972369384786
10,svm,macro_f1,optimized_action_minus_corrected,-0.010349405468754872,0.020205954480161884,0.005657667254445327,16,0,34,0.0011051033525024678
10,knn,accuracy,joint_angle_minus_raw,0.3304347826086956,0.06034557068833904,0.01689675979273493,50,0,0,7.502426705110603e-10
10,knn,macro_f1,joint_angle_minus_raw,0.3395228795460077,0.06193699483220686,0.017342358553017922,50,0,0,1.7763568394002505e-15
10,knn,accuracy,joint_angle_minus_raw_pca11,0.10695652173913044,0.06392930878508801,0.017900206459824642,48,0,2,1.25259093440861e-09
10,knn,macro_f1,joint_angle_minus_raw_pca11,0.10756516718089934,0.06356646726110993,0.01779861083311078,48,0,2,3.375077994860476e-14
10,knn,accuracy,corrected_minus_joint_angle,0.010956521739130443,0.04255755582333124,0.011916115630532747,27,5,18,0.09329881969478952
10,knn,macro_f1,corrected_minus_joint_angle,0.010279718594447524,0.04304384323139994,0.012052276104791981,26,0,24,0.18768390417341507
10,knn,accuracy,optimized_action_minus_joint_angle,-0.009565217391304337,0.04448401934757795,0.012455525417321827,16,5,29,0.15942946422631077
10,knn,macro_f1,optimized_action_minus_joint_angle,-0.0096082771468882,0.04509060635657494,0.01262536977984098,18,0,32,0.11848533640686121
10,knn,accuracy,optimized_action_minus_corrected,-0.020521739130434778,0.030410425035679145,0.008514919009990159,12,4,34,5.0376407148446624e-05
10,knn,macro_f1,optimized_action_minus_corrected,-0.019887995741335724,0.030821476799088778,0.008630013503744857,14,0,36,7.500770700019643e-05
10,rf,accuracy,joint_angle_minus_raw,0.21634782608695652,0.04859119230636612,0.013605533845782513,50,0,0,7.449964134566088e-10
10,rf,macro_f1,joint_angle_minus_raw,0.21666806021144341,0.04974719351179358,0.0139292141833022,50,0,0,1.7763568394002505e-15
10,rf,accuracy,joint_angle_minus_raw_pca11,0.07008695652173913,0.05558174891863733,0.015562889697218451,46,0,4,5.610889704509241e-09
10,rf,macro_f1,joint_angle_minus_raw_pca11,0.06983578953316857,0.056363050617627766,0.015781654172935772,46,0,4,7.65609797781508e-12
10,rf,accuracy,corrected_minus_joint_angle,0.0059130434782608664,0.02576262147776167,0.007213534013773268,27,7,16,0.09946736292106749
10,rf,macro_f1,corrected_minus_joint_angle,0.006164017178811667,0.02556595662205805,0.007158467854176253,30,0,20,0.08401577354329604
