shot,classifier,feature_set,true_label,predicted_label,count
1,knn,raw,three_finger_bent,flower_pinch,168
1,knn,raw,three_finger_bent,orchid_finger,117
1,knn,raw,three_finger_bent,orchid_palm,139
1,knn,raw,three_finger_bent,prayer_beads,126
1,knn,raw,three_finger_bent,three_finger_bent,210
1,knn,raw_pca11,deer_horn,deer_horn,507
1,knn,raw_pca11,deer_horn,flower_pinch,129
1,knn,raw_pca11,deer_horn,orchid_finger,137
1,knn,raw_pca11,deer_horn,orchid_palm,63
1,knn,raw_pca11,deer_horn,prayer_beads,30
1,knn,raw_pca11,deer_horn,three_finger_bent,84
1,knn,raw_pca11,flower_pinch,deer_horn,103
1,knn,raw_pca11,flower_pinch,flower_pinch,365
1,knn,raw_pca11,flower_pinch,orchid_finger,97
1,knn,raw_pca11,flower_pinch,orchid_palm,189
1,knn,raw_pca11,flower_pinch,prayer_beads,83
1,knn,raw_pca11,flower_pinch,three_finger_bent,113
1,knn,raw_pca11,orchid_finger,deer_horn,142
1,knn,raw_pca11,orchid_finger,flower_pinch,124
1,knn,raw_pca11,orchid_finger,orchid_finger,352
1,knn,raw_pca11,orchid_finger,orchid_palm,130
1,knn,raw_pca11,orchid_finger,prayer_beads,70
1,knn,raw_pca11,orchid_finger,three_finger_bent,107
1,knn,raw_pca11,orchid_palm,deer_horn,93
1,knn,raw_pca11,orchid_palm,flower_pinch,273
1,knn,raw_pca11,orchid_palm,orchid_finger,134
1,knn,raw_pca11,orchid_palm,orchid_palm,374
1,knn,raw_pca11,orchid_palm,prayer_beads,131
1,knn,raw_pca11,orchid_palm,three_finger_bent,95
1,knn,raw_pca11,prayer_beads,deer_horn,67
1,knn,raw_pca11,prayer_beads,flower_pinch,139
1,knn,raw_pca11,prayer_beads,orchid_finger,111
1,knn,raw_pca11,prayer_beads,orchid_palm,172
1,knn,raw_pca11,prayer_beads,prayer_beads,344
1,knn,raw_pca11,prayer_beads,three_finger_bent,92
1,knn,raw_pca11,three_finger_bent,deer_horn,97
1,knn,raw_pca11,three_finger_bent,flower_pinch,166
