shot,classifier,feature_set,condition,true_label,predicted_label,count
3,knn,optimized_full,clean,three_finger_bent,three_finger_bent,158
3,knn,optimized_full,occluded,deer_horn,deer_horn,162
3,knn,optimized_full,occluded,deer_horn,flower_pinch,37
3,knn,optimized_full,occluded,deer_horn,orchid_finger,68
3,knn,optimized_full,occluded,deer_horn,orchid_palm,36
3,knn,optimized_full,occluded,deer_horn,prayer_beads,16
3,knn,optimized_full,occluded,deer_horn,three_finger_bent,61
3,knn,optimized_full,occluded,flower_pinch,deer_horn,60
3,knn,optimized_full,occluded,flower_pinch,flower_pinch,101
3,knn,optimized_full,occluded,flower_pinch,orchid_finger,69
3,knn,optimized_full,occluded,flower_pinch,orchid_palm,61
3,knn,optimized_full,occluded,flower_pinch,prayer_beads,7
3,knn,optimized_full,occluded,flower_pinch,three_finger_bent,82
3,knn,optimized_full,occluded,orchid_finger,deer_horn,61
3,knn,optimized_full,occluded,orchid_finger,flower_pinch,43
3,knn,optimized_full,occluded,orchid_finger,orchid_finger,132
3,knn,optimized_full,occluded,orchid_finger,orchid_palm,72
3,knn,optimized_full,occluded,orchid_finger,prayer_beads,21
3,knn,optimized_full,occluded,orchid_finger,three_finger_bent,38
3,knn,optimized_full,occluded,orchid_palm,deer_horn,64
3,knn,optimized_full,occluded,orchid_palm,flower_pinch,50
3,knn,optimized_full,occluded,orchid_palm,orchid_finger,87
3,knn,optimized_full,occluded,orchid_palm,orchid_palm,151
3,knn,optimized_full,occluded,orchid_palm,prayer_beads,38
3,knn,optimized_full,occluded,orchid_palm,three_finger_bent,50
3,knn,optimized_full,occluded,prayer_beads,deer_horn,38
3,knn,optimized_full,occluded,prayer_beads,flower_pinch,31
3,knn,optimized_full,occluded,prayer_beads,orchid_finger,58
3,knn,optimized_full,occluded,prayer_beads,orchid_palm,40
3,knn,optimized_full,occluded,prayer_beads,prayer_beads,173
3,knn,optimized_full,occluded,prayer_beads,three_finger_bent,33
3,knn,optimized_full,occluded,three_finger_bent,deer_horn,63
3,knn,optimized_full,occluded,three_finger_bent,flower_pinch,63
3,knn,optimized_full,occluded,three_finger_bent,orchid_finger,68
3,knn,optimized_full,occluded,three_finger_bent,orchid_palm,23
3,knn,optimized_full,occluded,three_finger_bent,prayer_beads,13
3,knn,optimized_full,occluded,three_finger_bent,three_finger_bent,130
3,knn,raw,clean,deer_horn,deer_horn,179
3,knn,raw,clean,deer_horn,flower_pinch,42
3,knn,raw,clean,deer_horn,orchid_finger,60
3,knn,raw,clean,deer_horn,orchid_palm,54
3,knn,raw,clean,deer_horn,prayer_beads,23
3,knn,raw,clean,deer_horn,three_finger_bent,22
3,knn,raw,clean,flower_pinch,deer_horn,47
3,knn,raw,clean,flower_pinch,flower_pinch,109
3,knn,raw,clean,flower_pinch,orchid_finger,22
3,knn,raw,clean,flower_pinch,orchid_palm,106
3,knn,raw,clean,flower_pinch,prayer_beads,49
3,knn,raw,clean,flower_pinch,three_finger_bent,47
3,knn,raw,clean,orchid_finger,deer_horn,78
3,knn,raw,clean,orchid_finger,flower_pinch,35
3,knn,raw,clean,orchid_finger,orchid_finger,125
3,knn,raw,clean,orchid_finger,orchid_palm,56
3,knn,raw,clean,orchid_finger,prayer_beads,41
3,knn,raw,clean,orchid_finger,three_finger_bent,32
3,knn,raw,clean,orchid_palm,deer_horn,78
3,knn,raw,clean,orchid_palm,flower_pinch,84
3,knn,raw,clean,orchid_palm,orchid_finger,57
3,knn,raw,clean,orchid_palm,orchid_palm,153
3,knn,raw,clean,orchid_palm,prayer_beads,46
3,knn,raw,clean,orchid_palm,three_finger_bent,22
3,knn,raw,clean,prayer_beads,deer_horn,33
3,knn,raw,clean,prayer_beads,flower_pinch,62
3,knn,raw,clean,prayer_beads,orchid_finger,30
3,knn,raw,clean,prayer_beads,orchid_palm,57
3,knn,raw,clean,prayer_beads,prayer_beads,141
3,knn,raw,clean,prayer_beads,three_finger_bent,50
3,knn,raw,clean,three_finger_bent,deer_horn,59
3,knn,raw,clean,three_finger_bent,flower_pinch,75
3,knn,raw,clean,three_finger_bent,orchid_finger,43
3,knn,raw,clean,three_finger_bent,orchid_palm,45
3,knn,raw,clean,three_finger_bent,prayer_beads,50
3,knn,raw,clean,three_finger_bent,three_finger_bent,88
