repeat,shot,num_train,num_test,classifier,feature_set,condition,accuracy,macro_f1,kappa
5,3,18,115,knn,optimized_full,occluded,0.34782608695652173,0.3509218405051738,0.217687074829932
5,3,18,115,rf,optimized_full,clean,0.34782608695652173,0.3562126526029266,0.21690575631015074
5,3,18,115,rf,optimized_full,occluded,0.28695652173913044,0.2923759829733284,0.14366146022520887
5,3,18,115,mlp,optimized_full,clean,0.43478260869565216,0.4289766005597011,0.32211843656479533
5,3,18,115,mlp,optimized_full,occluded,0.3652173913043478,0.37378714747135805,0.23944555173038606
6,3,18,115,svm,raw,clean,0.46956521739130436,0.453815349501624,0.3622147467951632
6,3,18,115,svm,raw,occluded,0.46956521739130436,0.4564278258395906,0.3622147467951632
6,3,18,115,knn,raw,clean,0.43478260869565216,0.41944799539260064,0.318223276176578
6,3,18,115,knn,raw,occluded,0.4434782608695652,0.4286299081035923,0.32858967341725975
6,3,18,115,rf,raw,clean,0.4956521739130435,0.48450687140342313,0.3931950509461427
6,3,18,115,rf,raw,occluded,0.4956521739130435,0.4858661041146064,0.3928636446386309
6,3,18,115,mlp,raw,clean,0.5217391304347826,0.5045430102598887,0.4245291602219998
6,3,18,115,mlp,raw,occluded,0.5217391304347826,0.503422567616941,0.4245815138282387
6,3,18,115,svm,raw_pca17,clean,0.6956521739130435,0.7254649081854964,0.6340243680669213
6,3,18,115,svm,raw_pca17,occluded,0.6173913043478261,0.6446312803123949,0.5409181636726548
6,3,18,115,knn,raw_pca17,clean,0.6608695652173913,0.6790472020073538,0.590036563071298
6,3,18,115,knn,raw_pca17,occluded,0.6086956521739131,0.6200715564939704,0.5269652650822669
6,3,18,115,rf,raw_pca17,clean,0.7130434782608696,0.7146082494075846,0.6551567469332122
6,3,18,115,rf,raw_pca17,occluded,0.6869565217391305,0.6842330851259423,0.6241488878801634
6,3,18,115,mlp,raw_pca17,clean,0.6521739130434783,0.669469785230933,0.5826528760660497
6,3,18,115,mlp,raw_pca17,occluded,0.5826086956521739,0.5949268313013213,0.49845538797019806
6,3,18,115,svm,corrected,clean,0.7130434782608696,0.7286696454153759,0.6556261343012704
6,3,18,115,svm,corrected,occluded,0.45217391304347826,0.4769427575348628,0.3427975326560232
6,3,18,115,knn,corrected,clean,0.7304347826086957,0.7312064347404276,0.6759974552394802
6,3,18,115,knn,corrected,occluded,0.5739130434782609,0.5631829443556257,0.4880995639534884
6,3,18,115,rf,corrected,clean,0.808695652173913,0.808858137572262,0.77
6,3,18,115,rf,corrected,occluded,0.7217391304347827,0.7189055874153777,0.6661828737300436
6,3,18,115,mlp,corrected,clean,0.7304347826086957,0.7277412085830655,0.676056338028169
6,3,18,115,mlp,corrected,occluded,0.5391304347826087,0.5301661831149795,0.4469147005444646
6,3,18,115,svm,optimized_action,clean,0.6782608695652174,0.6962427174879036,0.613953910361096
6,3,18,115,svm,optimized_action,occluded,0.4434782608695652,0.46386648601560876,0.33169890129846547
6,3,18,115,knn,optimized_action,clean,0.7217391304347827,0.725038714672861,0.6660010891268833
6,3,18,115,knn,optimized_action,occluded,0.5478260869565217,0.5354668405979638,0.45700535730500313
6,3,18,115,rf,optimized_action,clean,0.7652173913043478,0.7660288182027314,0.7179067865903517
6,3,18,115,rf,optimized_action,occluded,0.6869565217391305,0.683119658119658,0.6244216637938855
6,3,18,115,mlp,optimized_action,clean,0.7130434782608696,0.7068450288314465,0.6552194058326519
6,3,18,115,mlp,optimized_action,occluded,0.5391304347826087,0.5206769176387417,0.4468143038664003
6,3,18,115,svm,optimized_full,clean,0.4782608695652174,0.49433001708543506,0.3740928882438318
6,3,18,115,svm,optimized_full,occluded,0.4,0.41267660262758304,0.28053313990388973
6,3,18,115,knn,optimized_full,clean,0.43478260869565216,0.4382946856631067,0.32242567077592477
6,3,18,115,knn,optimized_full,occluded,0.3565217391304348,0.3500273585681572,0.22860768672951404
6,3,18,115,rf,optimized_full,clean,0.5739130434782609,0.5872117779482743,0.48782039629158336
6,3,18,115,rf,optimized_full,occluded,0.5130434782608696,0.5285747853219461,0.4151834362513621
6,3,18,115,mlp,optimized_full,clean,0.5304347826086957,0.5364092949458803,0.4373471051916281
6,3,18,115,mlp,optimized_full,occluded,0.4608695652173913,0.4656400013256469,0.3532293178519593
7,3,18,115,svm,raw,clean,0.3826086956521739,0.35607085634242064,0.2588726513569938
7,3,18,115,svm,raw,occluded,0.3652173913043478,0.3403026543758809,0.23861781244331592
7,3,18,115,knn,raw,clean,0.30434782608695654,0.29552703455142476,0.16409231328366347
7,3,18,115,knn,raw,occluded,0.3130434782608696,0.30124452409398644,0.17469113372093037
7,3,18,115,rf,raw,clean,0.3826086956521739,0.34788318988084826,0.2577272727272728
7,3,18,115,rf,raw,occluded,0.3739130434782609,0.34358076091913,0.24809298946603697
7,3,18,115,mlp,raw,clean,0.3652173913043478,0.3470286830321574,0.23647112323783537
7,3,18,115,mlp,raw,occluded,0.3826086956521739,0.3576554813013122,0.2570518653321201
7,3,18,115,svm,raw_pca17,clean,0.6695652173913044,0.6709885594294197,0.6035202322627472
7,3,18,115,svm,raw_pca17,occluded,0.5739130434782609,0.5821121431028552,0.48847131445170666
7,3,18,115,knn,raw_pca17,clean,0.6347826086956522,0.6344272844272844,0.5601894008377346
7,3,18,115,knn,raw_pca17,occluded,0.5652173913043478,0.565410949496107,0.47593875318993817
7,3,18,115,rf,raw_pca17,clean,0.7652173913043478,0.7667884889736847,0.7180348710497639
7,3,18,115,rf,raw_pca17,occluded,0.6869565217391305,0.6809885607359475,0.6238757154538022
7,3,18,115,mlp,raw_pca17,clean,0.6782608695652174,0.6788876650867864,0.6131818181818183
7,3,18,115,mlp,raw_pca17,occluded,0.6260869565217392,0.6195321409054941,0.549266247379455
7,3,18,115,svm,corrected,clean,0.6695652173913044,0.6616958444929724,0.6029077691958201
7,3,18,115,svm,corrected,occluded,0.5478260869565217,0.5563235963235963,0.4558689717925386
