shot,classifier,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
5,svm,optimized_action_minus_raw_pca17,0.10565217391304349,0.06248024262386055,0.028094543399368895,19,0,1,0.00012957474661289524
5,svm,optimized_action_minus_corrected,-0.007391304347826089,0.02221649789746298,0.009989755771593313,4,4,12,0.11959544165920677
5,knn,optimized_action_minus_raw,0.3356521739130435,0.06224532232408099,0.02798891034993785,20,0,0,8.819870204194453e-05
5,knn,optimized_action_minus_raw_pca17,0.09608695652173913,0.05900722457449491,0.02653288402966868,19,0,1,0.00011878564293152229
5,knn,optimized_action_minus_corrected,-0.014782608695652172,0.03026036981096577,0.013606721696859515,5,1,14,0.07572350636712433
5,rf,optimized_action_minus_raw,0.32521739130434785,0.06138908728599231,0.027603900122265403,20,0,0,8.819870204194453e-05
5,rf,optimized_action_minus_raw_pca17,0.07478260869565219,0.05327816932883613,0.023956786619075788,18,1,1,0.0001813591537103979
5,rf,optimized_action_minus_corrected,-0.00695652173913045,0.027304901683665367,0.012277781153722389,7,3,10,0.25417199488029274
5,mlp,optimized_action_minus_raw,0.3195652173913044,0.06430521503369148,0.028915151073370875,20,0,0,1.9073486328125e-06
5,mlp,optimized_action_minus_raw_pca17,0.07608695652173914,0.04979162629548606,0.02238904567488788,18,1,1,0.00017945005317047125
5,mlp,optimized_action_minus_corrected,-0.011304347826086969,0.034575470177514854,0.015547027454800813,6,2,12,0.2462699162199855
10,svm,optimized_action_minus_raw,0.2547826086956521,0.058013752362159755,0.026086164442589835,20,0,0,8.832385863081277e-05
10,svm,optimized_action_minus_raw_pca17,0.03043478260869565,0.03922693415179115,0.017638580736413723,15,1,4,0.0039775007044175305
10,svm,optimized_action_minus_corrected,-0.015217391304347832,0.012259019286844933,0.005512327336200805,0,3,17,0.0002658608047804708
10,knn,optimized_action_minus_raw,0.32782608695652177,0.06366856524516688,0.02862887841560318,20,0,0,8.782404130245518e-05
10,knn,optimized_action_minus_raw_pca17,0.03434782608695653,0.05398837654081005,0.02427613472819671,14,0,6,0.024853212951609176
10,knn,optimized_action_minus_corrected,-0.023043478260869547,0.029523628037156455,0.013275442193624849,4,1,15,0.00824784445570019
10,rf,optimized_action_minus_raw,0.22000000000000003,0.04162121023921501,0.01871517856355648,20,0,0,8.794879347050151e-05
10,rf,optimized_action_minus_raw_pca17,0.013913043478260884,0.03493445117669681,0.015708444997971725,12,2,6,0.0810723774932934
10,rf,optimized_action_minus_corrected,-0.0034782608695652028,0.0232354595058911,0.010447936788952904,10,0,10,0.679869611003123
10,mlp,optimized_action_minus_raw,0.2573913043478261,0.07562718227881354,0.03400612842519124,20,0,0,8.807368035275503e-05
10,mlp,optimized_action_minus_raw_pca17,0.016956521739130433,0.038347234541429784,0.01724301955028819,12,4,4,0.07380170093045044
10,mlp,optimized_action_minus_corrected,-0.011739130434782613,0.031143912554863,0.01400401096657401,6,2,12,0.09630929036937573
20,svm,optimized_action_minus_raw,0.15521739130434783,0.0432406550980455,0.019443369779829432,20,0,0,8.807368035275503e-05
20,svm,optimized_action_minus_raw_pca17,0.012608695652173919,0.024203766364724818,0.010883340653070128,12,3,5,0.032564536909434845
20,svm,optimized_action_minus_corrected,-0.009999999999999998,0.01988150150464988,0.008939813345950343,6,0,14,0.04898401542267721
20,knn,optimized_action_minus_raw,0.2891304347826087,0.05681362758857383,0.025546522531479657,20,0,0,8.819870204194453e-05
20,knn,optimized_action_minus_raw_pca17,0.011739130434782608,0.03681815529798193,0.016555461670195795,9,2,9,0.30529900216678485
20,knn,optimized_action_minus_corrected,-0.012173913043478262,0.027277195028448917,0.012265322722148812,7,3,10,0.06400254127411312
