shot,num_train,classifier,feature_set,repeats,accuracy_mean,accuracy_std,accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,kappa_mean,kappa_std,kappa_ci95
3,18,svm,raw,20,0.3847826086956522,0.03377620105982949,0.015187632228860836,0.37305065609263405,0.03601893041615421,0.016196086335123244,0.26078859280363254,0.04099283387534715,0.018432626091215706
3,18,svm,raw_pca17,20,0.6169565217391304,0.06188439737883371,0.0278266187020131,0.6231930271169781,0.06707078988819568,0.030158705187618182,0.5403106186484209,0.07403523040984682,0.033290299564832225
5,30,knn,corrected,20,0.7656521739130435,0.052425119882619185,0.023573208808201587,0.7653055686389719,0.0552256420513747,0.0248324771513906,0.7189865172470012,0.06262004513794146,0.028157406276243944
5,30,knn,optimized_action,20,0.7508695652173912,0.06308244672701087,0.02836532738804651,0.7498868311781318,0.06613016298409709,0.029735747749073928,0.7009913523516271,0.07548147228849059,0.03394060922304129
5,30,knn,optimized_full,20,0.48,0.06090682089682594,0.027387046706985656,0.4771575330617659,0.05840402003203391,0.0262616501886145,0.37652571016964353,0.0727753016895855,0.03272376651974487
5,30,knn,raw,20,0.41521739130434776,0.0506946080882864,0.02279507580699529,0.4038034480712181,0.0539529905670757,0.024260223253896047,0.29702293921996054,0.06074044824314663,0.02731223643828358
5,30,knn,raw_pca17,20,0.6547826086956523,0.0551403090869137,0.024794106771046865,0.6512632003905987,0.061904382673482874,0.027835605186448675,0.5851265197589373,0.0660104072193028,0.029681898990009527
5,30,mlp,corrected,20,0.8039130434782609,0.04605207868110474,0.020707539996705368,0.8039617625917463,0.04713324063408426,0.021193689699941794,0.7648213733104993,0.0550824060836544,0.024768070405474223
5,30,mlp,optimized_action,20,0.7926086956521738,0.04644447057380358,0.020883980909800964,0.7928203987921457,0.046701829075498545,0.020999703405287954,0.7511739007723122,0.05560384232341979,0.02500253673359469
5,30,mlp,optimized_full,20,0.5486956521739131,0.07454461624399232,0.0335193473697612,0.5479937268004216,0.07237392287532078,0.03254328459388498,0.4582867042271121,0.0895325655844831,0.04025875130820165
5,30,mlp,raw,20,0.47304347826086957,0.04883520376382252,0.021958985655983698,0.46186601730542487,0.054921289343554745,0.024695623483743386,0.3670778677253814,0.05868450437426727,0.026387771330191327
5,30,mlp,raw_pca17,20,0.7165217391304349,0.055297784680294414,0.024864916433538258,0.7146335368516038,0.05699614633702174,0.025628592969815473,0.6597088789984518,0.06626691057516373,0.029797236965034713
5,30,rf,corrected,20,0.8560869565217392,0.0375502184226894,0.016884637396224703,0.8569814108484815,0.03662403837823378,0.016468176058018397,0.8273330230685154,0.04498410264368587,0.020227319404199348
5,30,rf,optimized_action,20,0.8491304347826087,0.03742920223013203,0.016830221879718197,0.8491081622895257,0.03747126485866251,0.016849135544152176,0.8189538820630318,0.04485805802010721,0.02017064282935462
5,30,rf,optimized_full,20,0.5934782608695651,0.08523846234616152,0.038327887010560065,0.592093856185773,0.0830152073304316,0.037328189635770496,0.5122592697553202,0.10246314179854803,0.04607304746597876
5,30,rf,raw,20,0.5239130434782608,0.050694608088286394,0.022795075806995288,0.51511756002901,0.05449743500593703,0.024505035330062562,0.42829956792227203,0.061243882306913904,0.027538608000865012
5,30,rf,raw_pca17,20,0.7743478260869564,0.05356655842477168,0.024086462171401066,0.7741263314863647,0.05526668914709899,0.024850934176584735,0.7290841049395537,0.06416635006622516,0.028852709768867293
5,30,svm,corrected,20,0.8100000000000002,0.038720070458777615,0.017410667024447837,0.8139771602774546,0.03865106219352988,0.017379637124090547,0.7720468753451295,0.04631120845589544,0.020824058953709965
5,30,svm,optimized_action,20,0.802608695652174,0.04560867492849863,0.02050816135398739,0.8072618606702712,0.044542453194003295,0.020028729592278933,0.7631066225698498,0.054667498833972074,0.02458150535317301
5,30,svm,optimized_full,20,0.5304347826086958,0.06413596144203748,0.0288390453769694,0.5335271091869802,0.06251737977894406,0.0281112423008361,0.4364335145077491,0.07654434946301986,0.03441853708717874
5,30,svm,raw,20,0.46434782608695657,0.06404157439833728,0.028796603786088625,0.45726181656774534,0.06805572680201648,0.030601586836422976,0.3568406981344697,0.07708199197842232,0.03466029064555164
5,30,svm,raw_pca17,20,0.6969565217391305,0.07420785196329073,0.03336791968154804,0.7022770210043663,0.07182461381109213,0.03229628511538512,0.6365339129961536,0.08873852714921453,0.03990170808391844
10,60,knn,corrected,20,0.8391304347826087,0.04308517962378258,0.01937345948057671,0.8398296521500779,0.04355554413659632,0.019584961159568617,0.806887252761677,0.05169136832279683,0.023243273869153966
10,60,knn,optimized_action,20,0.8160869565217391,0.04367563893834832,0.019638962368241447,0.8176250136581273,0.04301426474234255,0.019341572261023607,0.7792244430724188,0.052342973489719474,0.023536271285178247
10,60,knn,optimized_full,20,0.5673913043478261,0.05223728035950261,0.023488745857792044,0.5639627016916443,0.04805715479760056,0.021609132173820534,0.48148118178266663,0.06256106038596941,0.028130883497128695
10,60,knn,raw,20,0.4882608695652174,0.05012460843248949,0.02253877270388768,0.4794022989416759,0.05229447034995273,0.02351446161370521,0.3854210949675322,0.06028084016075445,0.027105571440274482
10,60,knn,raw_pca17,20,0.7817391304347826,0.041146150136768624,0.018501565489967172,0.7839983757327424,0.04239664670376977,0.019063857321704698,0.7377403019773549,0.0495856090924625,0.022296409042757523
10,60,mlp,corrected,20,0.8652173913043478,0.04572458026133882,0.020560278747693755,0.8672496226607753,0.04373737246317682,0.01966672114637123,0.8381470505826123,0.0549201356346146,0.024695104712936358
10,60,mlp,optimized_action,20,0.8534782608695652,0.04190862325600316,0.01884441521717048,0.8540880400855544,0.041460634983171096,0.018642975122751218,0.8240290321825683,0.05034337276821034,0.022637141145910932
10,60,mlp,optimized_full,20,0.6565217391304348,0.05951918246486123,0.02676308837212194,0.6564517135616732,0.06282062300968347,0.02824759708674597,0.5875762522232829,0.07172147894524261,0.03224991002394956
10,60,mlp,raw,20,0.5960869565217392,0.057580386809916305,0.025891299525233617,0.5964569759977191,0.060904245617042836,0.027385888719970976,0.5148243770730628,0.06944352734640263,0.03122561806592135
10,60,mlp,raw_pca17,20,0.8365217391304348,0.041575767262197985,0.0186947449090701,0.8380665321885494,0.0416608990815062,0.018733024843522666,0.8036082757047807,0.04994665260376035,0.022458754004480583
10,60,rf,corrected,20,0.9047826086956521,0.02993060657303603,0.013458442061402474,0.9054582855448118,0.030087374530562972,0.0135289335320084,0.8856499868302858,0.035958164248334396,0.01616876253375287
10,60,rf,optimized_action,20,0.901304347826087,0.028876243334470135,0.012984342529764673,0.9019657290142977,0.029380211049511072,0.013210954051223318,0.8815203318050526,0.03463485519305234,0.015573730214364891
10,60,rf,optimized_full,20,0.7169565217391304,0.05044040448427096,0.02268077192651451,0.7144555435262742,0.05145721885301516,0.023137987427161052,0.6603660249171042,0.06068324980486319,0.02728651688376129
10,60,rf,raw,20,0.681304347826087,0.04859267061040214,0.021849929450079138,0.6825588221897646,0.049567929455321444,0.022288459308376134,0.6174387897685544,0.0584048209962513,0.02626201034605022
10,60,rf,raw_pca17,20,0.8873913043478261,0.030924629394927447,0.013905409232732356,0.889176815957434,0.03029176815013126,0.013620840111982571,0.8647650304762212,0.03714679468454742,0.01670323596044928
10,60,svm,corrected,20,0.8726086956521739,0.04208866327836446,0.018925371084328412,0.875386782317689,0.04074082710237379,0.018319310026442118,0.8470297636925187,0.0505384550089031,0.02272486081932167
