shot,classifier,metric,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
3,knn,macro_f1,joint_angle_minus_raw_pca11,0.18028004026707078,0.012981415037067512,0.02544357347265232,2,0,0,0.5
3,knn,accuracy,corrected_minus_joint_angle,-0.004347826086956497,0.004347826086956497,0.008521739130434733,0,1,1,1.0
3,knn,macro_f1,corrected_minus_joint_angle,0.002064822637673547,0.012522931868442277,0.024544946462146857,1,0,1,1.0
3,knn,accuracy,optimized_action_minus_joint_angle,-0.030434782608695643,0.03913043478260875,0.07669565217391314,1,0,1,1.0
3,knn,macro_f1,optimized_action_minus_joint_angle,-0.02752062868777594,0.03441212577546637,0.06744776651991408,1,0,1,1.0
3,knn,accuracy,optimized_action_minus_corrected,-0.026086956521739146,0.043478260869565244,0.08521739130434787,1,0,1,1.0
3,knn,macro_f1,optimized_action_minus_corrected,-0.029585451325449486,0.04693505764390865,0.09199271298206094,1,0,1,1.0
3,rf,accuracy,joint_angle_minus_raw,0.33043478260869563,0.03478260869565217,0.06817391304347824,2,0,0,0.5
3,rf,macro_f1,joint_angle_minus_raw,0.32958439386293936,0.03488267581216478,0.06837004459184297,2,0,0,0.5
3,rf,accuracy,joint_angle_minus_raw_pca11,0.16521739130434776,0.0,0.0,2,0,0,0.5
3,rf,macro_f1,joint_angle_minus_raw_pca11,0.16414224326024035,0.0029581377694027355,0.005797950028029361,2,0,0,0.5
3,rf,accuracy,corrected_minus_joint_angle,0.047826086956521796,0.013043478260869601,0.025565217391304417,2,0,0,0.5
3,rf,macro_f1,corrected_minus_joint_angle,0.04797901826550627,0.012281625639925242,0.024071986254253473,2,0,0,0.5
3,rf,accuracy,optimized_action_minus_joint_angle,0.05217391304347829,0.017391304347826098,0.03408695652173915,2,0,0,0.5
3,rf,macro_f1,optimized_action_minus_joint_angle,0.05372426950669956,0.016220030513938444,0.031791259807319346,2,0,0,0.5
3,rf,accuracy,optimized_action_minus_corrected,0.004347826086956497,0.004347826086956497,0.008521739130434733,1,1,0,1.0
3,rf,macro_f1,optimized_action_minus_corrected,0.005745251241193294,0.003938404874013202,0.007719273553065876,2,0,0,0.5
3,mlp,accuracy,joint_angle_minus_raw,0.28260869565217395,0.013043478260869573,0.025565217391304358,2,0,0,0.5
3,mlp,macro_f1,joint_angle_minus_raw,0.2833147769199206,0.018050080484852737,0.03537815775031136,2,0,0,0.5
3,mlp,accuracy,joint_angle_minus_raw_pca11,0.15217391304347833,0.030434782608695643,0.059652173913043456,2,0,0,0.5
3,mlp,macro_f1,joint_angle_minus_raw_pca11,0.14001564356502788,0.017370643090708404,0.03404646045778847,2,0,0,0.5
3,mlp,accuracy,corrected_minus_joint_angle,0.060869565217391286,0.0,0.0,2,0,0,0.5
3,mlp,macro_f1,corrected_minus_joint_angle,0.06959471775675219,0.0075083370005349925,0.014716340521048586,2,0,0,0.5
3,mlp,accuracy,optimized_action_minus_joint_angle,0.04347826086956519,0.017391304347826098,0.03408695652173915,2,0,0,0.5
3,mlp,macro_f1,optimized_action_minus_joint_angle,0.05540115682601643,0.022226980503999516,0.043564881787839044,2,0,0,0.5
3,mlp,accuracy,optimized_action_minus_corrected,-0.017391304347826098,0.017391304347826098,0.03408695652173915,0,1,1,1.0
3,mlp,macro_f1,optimized_action_minus_corrected,-0.01419356093073576,0.014718643503464524,0.028848541266790467,1,0,1,1.0
