repeat,shot,num_train,num_test,classifier,feature_set,accuracy,macro_f1,kappa
1,1,6,115,knn,raw_pca11,0.5130434782608696,0.4579715890143304,0.41219423147133993
1,1,6,115,rf,raw_pca11,0.391304347826087,0.35825346506591255,0.26557795821549124
1,1,6,115,mlp,raw_pca11,0.4956521739130435,0.46137937070607477,0.39058931018730014
1,1,6,115,svm,raw_pca17,0.46956521739130436,0.40813616774518796,0.3568350600531769
1,1,6,115,knn,raw_pca17,0.46956521739130436,0.40813616774518796,0.3568350600531769
1,1,6,115,rf,raw_pca17,0.3565217391304348,0.2926773627440566,0.22332755316236186
1,1,6,115,mlp,raw_pca17,0.4434782608695652,0.38763882045683634,0.3307874158937989
1,1,6,115,svm,joint_angle,0.4782608695652174,0.4851032351032351,0.3675527039413382
1,1,6,115,knn,joint_angle,0.4782608695652174,0.4851032351032351,0.3675527039413382
1,1,6,115,rf,joint_angle,0.5565217391304348,0.5498619262060122,0.464628023733455
1,1,6,115,mlp,joint_angle,0.46956521739130436,0.46943631710754996,0.3570708459352946
1,1,6,115,svm,corrected,0.5739130434782609,0.5587706957230284,0.48786694537853303
1,1,6,115,knn,corrected,0.5739130434782609,0.5587706957230284,0.48786694537853303
1,1,6,115,rf,corrected,0.5826086956521739,0.5761599511599512,0.4976337823079723
1,1,6,115,mlp,corrected,0.5043478260869565,0.491812865497076,0.4068410098633608
1,1,6,115,svm,optimized_action,0.5043478260869565,0.48494265535120107,0.40381991814461127
1,1,6,115,knn,optimized_action,0.5043478260869565,0.48494265535120107,0.40381991814461127
1,1,6,115,rf,optimized_action,0.591304347826087,0.5940380551462205,0.5088596092685145
1,1,6,115,mlp,optimized_action,0.4782608695652174,0.4661148383739866,0.37590448625180906
1,3,18,115,svm,raw,0.4260869565217391,0.43212378447313887,0.30974899963623126
1,3,18,115,knn,raw,0.3565217391304348,0.349771027345398,0.22339843037050555
1,3,18,115,rf,raw,0.4434782608695652,0.44893486143486144,0.3298124203241669
1,3,18,115,mlp,raw,0.41739130434782606,0.4170149167268982,0.2982695810564663
1,3,18,115,svm,raw_pca11,0.5391304347826087,0.5543456382078673,0.44535444535444546
1,3,18,115,knn,raw_pca11,0.5130434782608696,0.5090660782733953,0.41187214611872147
1,3,18,115,rf,raw_pca11,0.5739130434782609,0.5824524739947984,0.4875875238701465
1,3,18,115,mlp,raw_pca11,0.5043478260869565,0.5248933265062298,0.40197062311832865
1,3,18,115,svm,raw_pca17,0.6,0.6046815231468932,0.5205727750589089
1,3,18,115,knn,raw_pca17,0.6086956521739131,0.6204729401914166,0.5303140315846796
1,3,18,115,rf,raw_pca17,0.6695652173913044,0.6863172003218633,0.6025466120964075
1,3,18,115,mlp,raw_pca17,0.6434782608695652,0.6429809772267017,0.5719862018881627
1,3,18,115,svm,joint_angle,0.6782608695652174,0.6836542769140808,0.6124419346024228
1,3,18,115,knn,joint_angle,0.7130434782608696,0.7023275335775336,0.6536776784084687
1,3,18,115,rf,joint_angle,0.7391304347826086,0.743636579485636,0.6857637307587212
1,3,18,115,mlp,joint_angle,0.6869565217391305,0.6822796131619661,0.6223661406549301
1,3,18,115,svm,corrected,0.7565217391304347,0.7676359460757135,0.7071928707829408
1,3,18,115,knn,corrected,0.7130434782608696,0.7169152880836495,0.6555636231620985
1,3,18,115,rf,corrected,0.8,0.8038972233910675,0.7596547024079964
1,3,18,115,mlp,corrected,0.7478260869565218,0.7593826679192532,0.697423335147886
1,3,18,115,svm,optimized_action,0.6869565217391305,0.6994564784101386,0.622159350187095
1,3,18,115,knn,optimized_action,0.6434782608695652,0.6403947791142913,0.5714025997636578
