sequence_index,num_frames,mean_velocity_deg,max_velocity_deg,mean_acceleration_deg,max_acceleration_deg
193,36,27.39094096783546,116.40412714663213,40.95550537109375,155.2374725341797
194,35,31.14529046423225,146.71844463127664,51.31466293334961,170.3953399658203
195,36,32.68750849263431,149.17638167935172,49.98265838623047,239.88331604003906
196,29,16.086836089685445,59.00328602142757,23.519426345825195,112.3525619506836
197,38,11.595124008765314,39.690584527534966,16.680870056152344,51.22130584716797
198,35,17.004907526444896,83.95840538603701,25.073184967041016,107.6869125366211
199,111,22.455653949408173,85.53314579237536,32.55727005004883,85.72138214111328
200,23,5.466075812154612,19.643026030054134,8.382563591003418,19.64302635192871
201,45,7.543427538076435,19.021330574663164,10.31068229675293,20.197887420654297
202,27,25.731174455315323,62.87238605701136,41.794437408447266,108.70535278320312
203,35,3.5175065258271103,9.46807467763175,5.637415885925293,11.681719779968262
204,30,26.19650748515171,65.75906557534721,37.545021057128906,86.68499755859375
205,15,6.26989149987495,12.874922101728922,8.010087013244629,15.920917510986328
206,51,27.744726138885593,106.00058032904029,39.03983688354492,101.17967987060547
207,44,29.1471868581347,92.02701148900138,46.32966995239258,138.17088317871094
208,52,21.706839121447924,80.41727297083426,34.64023208618164,111.87864685058594
209,31,24.050808332990368,83.54985930692695,36.908424377441406,114.4099349975586
210,118,29.909579713626382,113.28794071771642,48.20138168334961,198.196044921875
211,39,17.831311365488705,47.33588259784359,27.25899887084961,78.35559844970703
212,35,12.513144166994017,48.41899794433086,20.192018508911133,58.65924835205078
213,50,19.685683504189853,107.11739958193257,28.168859481811523,124.32743835449219
214,38,12.867256995021807,48.74065255777976,17.65198516845703,43.3013801574707
215,43,14.94611904334218,32.065723338005306,21.530179977416992,50.747596740722656
216,35,24.27182266891901,67.35218875257685,33.127445220947266,98.91328430175781
217,20,17.534698204641934,32.226652562174515,29.126970291137695,56.192543029785156
218,39,28.169496081662828,129.64630074389322,44.67205047607422,239.02037048339844
219,45,60.509843266227655,269.7277443650221,100.13294982910156,529.6741943359375
220,36,20.76610527142238,48.56637623025751,35.25593948364258,85.26008605957031
221,31,8.836639494483192,27.570601507591764,12.172292709350586,32.8266716003418
222,34,32.16652322331042,115.96635415793043,50.42598342895508,176.05715942382812
223,34,20.994983250903594,103.78274025468957,37.08788299560547,160.3734893798828
224,29,7.7379030160841324,18.07853587879042,11.087664604187012,20.432451248168945
225,29,16.25564541646126,52.47419786394886,23.322053909301758,62.35002517700195
226,30,39.81913786851881,154.5596770981913,68.55448913574219,169.10806274414062
227,18,8.872703315645353,21.90077585692949,13.870586395263672,37.58222961425781
228,32,9.18460896822141,23.02996238279175,12.558941841125488,24.866500854492188
229,40,45.534465701536725,229.46216307811244,71.27303314208984,455.5946960449219
230,21,10.547266870319843,29.788222556533206,15.749926567077637,28.444555282592773
231,27,5.1230827913245,13.528530261638283,8.067024230957031,14.604804992675781
232,44,18.30880369341391,46.77338771607208,26.750131607055664,59.862918853759766
233,38,8.707893669934997,33.88739957962036,12.829691886901855,37.1722526550293
234,111,21.80501312395326,247.72766748221318,35.02544021606445,247.7276611328125
235,26,11.765677567118669,26.875834130468387,19.56202507019043,33.358001708984375
236,140,28.32318464357138,110.53965799155165,45.514095306396484,178.6537322998047
237,46,15.213658798270817,56.35881941649308,21.006736755371094,48.242279052734375
238,25,27.96764705978482,133.1329670368566,46.82355499267578,133.178955078125
239,35,31.971775651822167,97.76630197216576,50.9865837097168,123.54458618164062
240,29,15.215796690584295,110.18392314344298,25.11064910888672,123.22828674316406
241,43,16.846181202849564,155.027505010674,26.316837310791016,152.22767639160156
242,71,25.7077460270326,120.57410553055261,37.748565673828125,226.39268493652344
243,38,12.460702047727338,46.30316615820351,18.555397033691406,61.241790771484375
244,40,39.51462026730066,110.16650419453586,59.2960090637207,144.65074157714844
245,27,10.632640001917963,29.712206272676394,17.040685653686523,32.031864166259766
246,36,34.36165834035083,121.49875350623827,55.39198303222656,200.85147094726562
247,34,29.415792892012572,110.63448230149211,50.36479949951172,210.83340454101562
248,19,6.242735446023906,44.63016698429158,9.794604301452637,43.32154083251953
249,47,20.031671120558226,81.16415855193357,30.149688720703125,129.93612670898438
250,41,17.08761626885581,72.77250866757475,27.97019386291504,103.46513366699219
251,36,10.240096899056113,35.08419065406394,14.599876403808594,50.346927642822266
252,40,16.262467144270218,48.207421189116104,23.14095687866211,47.964622497558594
253,34,23.671459382409775,72.16297244781704,36.89971923828125,136.0678253173828
254,168,17.913023543088627,186.05413442503533,29.37822914123535,234.15757751464844
255,46,16.801255657896586,87.17942753381975,25.432214736938477,111.92731475830078
256,39,12.245278664081004,32.17350657711468,16.52235221862793,36.21491622924805
257,108,17.748432786259837,85.58413082509038,25.745098114013672,125.38329315185547
258,40,16.156595319916214,71.09290586535225,26.934146881103516,127.44141387939453
259,19,11.813927953339169,101.31032329838975,16.511520385742188,103.7647933959961
260,37,32.35693369327028,117.7628980070764,48.70594787597656,136.4167022705078
261,48,41.75656730269675,194.07149702510978,69.77599334716797,355.9309387207031
262,41,17.756822727704673,61.532376416872275,26.739164352416992,112.2782211303711
263,26,22.580570075818876,99.50925491463151,36.92967224121094,126.15576171875
264,27,14.179682009489918,29.72559348487379,22.1131649017334,51.76789474487305
265,35,13.410914120424124,93.8535338500927,21.053050994873047,91.08155822753906
266,44,13.22887831356972,34.53750442462071,18.352624893188477,46.03807830810547
267,35,21.267093770225717,38.1748146825592,27.418987274169922,50.7349967956543
268,33,46.512982499755225,156.05324238430708,75.21231842041016,209.53994750976562
269,32,26.526880459633873,112.96142946096315,37.893558502197266,145.13525390625
270,40,6.174454445785449,16.54596874678977,9.42394733428955,17.316129684448242
271,113,27.33192640512568,139.74125687688388,42.46371841430664,273.1885986328125
272,27,10.019019983302398,19.776941539565197,13.823103904724121,21.18210792541504
273,36,13.751895169836473,33.96142221432921,20.947208404541016,50.3868408203125
274,41,25.810513065123537,87.80638417718826,41.81865692138672,139.51974487304688
275,42,9.189725993601924,29.747644036227634,13.982935905456543,30.92620277404785
276,42,17.648142265317038,48.379880505876834,25.36327362060547,55.48238754272461
277,31,25.627154979361922,102.81127213683932,41.52730178833008,128.32533264160156
278,31,20.815733976088648,97.76872002635254,30.379655838012695,129.8538055419922
279,107,18.400560940850383,53.498300533944274,26.791587829589844,83.8540267944336
280,40,44.28633273337924,178.49213109337057,78.26742553710938,201.1591033935547
281,41,18.087888040946115,58.75209520670716,28.520404815673828,101.58259582519531
282,42,49.97543453585686,153.21888466773865,83.45594787597656,266.5177917480469
283,39,16.16908326798015,42.2995579264771,22.51545524597168,54.71372985839844
284,36,27.86231133993639,82.60964209587769,42.507896423339844,152.272216796875
285,43,28.540437248385974,101.88019205837637,48.1915397644043,116.96791076660156
286,31,17.069393300810848,105.24652970354823,27.48619270324707,112.67868041992188
287,53,14.506571697915449,77.55323331425731,21.326810836791992,139.52003479003906
288,31,12.2397549254487,35.85059066661543,17.619159698486328,44.550323486328125
289,25,39.408743268824416,123.45771144849375,62.87114715576172,160.78842163085938
290,35,15.846853419450852,67.64810736402369,24.49898910522461,111.82183837890625
291,34,9.561137037959902,56.271271647884504,13.223749160766602,76.4132308959961
292,34,59.07261205458339,211.91855590220382,103.42665100097656,391.84478759765625
293,41,15.14834228825742,40.66527194766524,20.818700790405273,46.62321853637695
294,32,18.278376293002275,58.46080659211884,29.972179412841797,109.01871490478516
295,16,9.913715619934418,26.111863782043347,17.727163314819336,36.24518585205078
296,35,17.598826608328785,64.1110630525942,21.878936767578125,70.95936584472656
297,72,9.865686861090968,49.58308696258312,15.818589210510254,88.05123138427734
298,41,22.368367865887635,133.73045526120987,34.85255813598633,147.7205047607422
299,8,23.26098387435982,68.01476005229753,32.43486022949219,78.69635772705078
300,42,33.9305118017259,205.87481426716815,54.3426628112793,315.85906982421875
301,51,29.434484246982834,115.26181667288692,46.70917892456055,137.6077117919922
302,82,25.89849486244983,212.8542608205038,39.543601989746094,201.0845184326172
303,19,27.470511054190176,109.4012982294874,41.48044967651367,137.7721405029297
304,34,14.920828944074707,60.7021382673448,24.798019409179688,72.38285827636719
305,118,32.001463398551714,119.61625260262728,51.72014236450195,175.5419464111328
306,30,25.3014278298477,83.3503911042721,40.03046798706055,84.0747299194336
307,48,15.329895249937561,39.688474838777225,23.084653854370117,54.15026092529297
308,35,27.588646471525404,143.85130545544314,44.60197448730469,264.1302490234375
309,29,35.93230607706814,133.30361904184863,58.400699615478516,254.79867553710938
310,60,25.105294359841576,107.46004489527124,36.62967300415039,136.68421936035156
311,38,29.196404247765763,161.06013267685069,42.92250061035156,187.25173950195312
312,44,41.98743542746515,161.45702789049687,62.377532958984375,196.6945343017578
