classifier,feature_set,encoding,num_features,repeats,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
mlp,optimized_full,pyramid,945,20,0.4130434782608696,0.06410648041936194,0.40412868358446846,0.06649241357936343
mlp,optimized_full,resample16,1008,20,0.39521739130434785,0.05419805449950386,0.3769541240160431,0.059687740565631454
mlp,raw,global4,252,20,0.39565217391304347,0.04429664565895662,0.38327792069763655,0.04667116333948278
mlp,raw,global5,315,20,0.39521739130434785,0.05155245827922641,0.3855990353164216,0.05158868358115971
mlp,raw,pyramid,945,20,0.3860869565217392,0.03641807233282074,0.37274781235069804,0.03733521642072507
mlp,raw,resample16,1008,20,0.43173913043478257,0.046930346972068236,0.42204472633345225,0.054160470682113805
mlp,raw_pca11,global4,44,20,0.5904347826086956,0.061481397128047066,0.5888022265799526,0.0609779798634157
mlp,raw_pca11,global5,55,20,0.5904347826086956,0.06329933090488138,0.5911184022764808,0.059088257062043605
mlp,raw_pca11,pyramid,165,20,0.6030434782608695,0.0791387955449314,0.6033006713610556,0.07906462352417072
mlp,raw_pca11,resample16,176,20,0.6873913043478259,0.04497216110108652,0.6832329849616918,0.04837113711295021
mlp,raw_pca17,global4,68,20,0.6382608695652175,0.04852454409844766,0.6356264839770841,0.05285720661995931
mlp,raw_pca17,global5,85,20,0.6334782608695652,0.07889956766001711,0.633191596321657,0.08102212555079352
mlp,raw_pca17,pyramid,255,20,0.6356521739130435,0.06862957746913266,0.635172039462937,0.07147677076471268
mlp,raw_pca17,resample16,272,20,0.7165217391304347,0.057772122580428145,0.7158350935993407,0.058383796325581744
rf,corrected,global4,68,20,0.7747826086956522,0.05681529121363352,0.7759575164319157,0.056797123323188994
rf,corrected,global5,85,20,0.7804347826086957,0.04994325702730324,0.7812380536585979,0.05101078670418973
rf,corrected,pyramid,255,20,0.7756521739130435,0.05765420679739402,0.7731940619540282,0.06216134601142176
rf,corrected,resample16,272,20,0.8347826086956521,0.04373835248681493,0.8314227604867357,0.046602385642571006
rf,joint_angle,global4,44,20,0.7930434782608696,0.051119785936344586,0.7932019148743243,0.05143218009763508
rf,joint_angle,global5,55,20,0.7760869565217391,0.047934659370836366,0.7757395763760911,0.05012927191277195
rf,joint_angle,pyramid,165,20,0.813913043478261,0.04967950211160244,0.8120948002629005,0.053294562611904614
rf,joint_angle,resample16,176,20,0.8434782608695652,0.04050718156122475,0.8434881007403575,0.04095108670640101
rf,optimized_action,global4,68,20,0.7682608695652174,0.0484368120720708,0.7688270003350601,0.04955334060268536
rf,optimized_action,global5,85,20,0.7847826086956522,0.05238183208616527,0.7861439941652002,0.05358994574095902
rf,optimized_action,pyramid,255,20,0.7730434782608696,0.051436822334505236,0.7700838802370644,0.056539061729823877
rf,optimized_action,resample16,272,20,0.8208695652173914,0.0478181811647566,0.8177584541856782,0.05069938731956498
rf,optimized_full,global4,252,20,0.4834782608695652,0.0697497552353234,0.47822818874455314,0.070549298051658
rf,optimized_full,global5,315,20,0.4921739130434782,0.06573130848335394,0.4881380567685306,0.06567545165683321
rf,optimized_full,pyramid,945,20,0.42913043478260865,0.07374789734595122,0.42611454759851375,0.07283596470259578
rf,optimized_full,resample16,1008,20,0.49173913043478257,0.0676069481110651,0.47810963443262827,0.07185557738004347
rf,raw,global4,252,20,0.418695652173913,0.050724430641399414,0.4088576588438867,0.05146185029010042
rf,raw,global5,315,20,0.44391304347826094,0.04395176940723167,0.43288467866879027,0.046891228518927824
rf,raw,pyramid,945,20,0.47086956521739126,0.06652458078613697,0.46021012388576,0.06800368150056038
rf,raw,resample16,1008,20,0.5482608695652174,0.05625186407329295,0.5434096089005009,0.06050471681725359
rf,raw_pca11,global4,44,20,0.6047826086956523,0.06805285391720169,0.600721332434809,0.06937223793709187
rf,raw_pca11,global5,55,20,0.6217391304347826,0.0543391297390191,0.620739540777139,0.058378458146556414
rf,raw_pca11,pyramid,165,20,0.6556521739130435,0.057443981095352155,0.6494674534838965,0.05949150739607695
rf,raw_pca11,resample16,176,20,0.723913043478261,0.05032033491402967,0.7186623516753936,0.05457362287724971
rf,raw_pca17,global4,68,20,0.6686956521739129,0.06395296002851093,0.6692927264943707,0.06751757513026034
rf,raw_pca17,global5,85,20,0.6686956521739129,0.06233636423660097,0.6690744883713554,0.06586767242772068
rf,raw_pca17,pyramid,255,20,0.6960869565217391,0.05945403778294331,0.6941857938581281,0.06198190930491929
