classifier,metric,first,second,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
mlp,macro_f1,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,-0.010338758329042241,0.0027339828949593525,0.005358606474120331,0,0,2,0.5
mlp,kappa,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,-0.0157749966757314,0.005094113044697923,0.009984461567607928,0,0,2,0.5
mlp,accuracy,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.030434782608695643,0.004347826086956552,0.008521739130434842,0,0,2,0.5
mlp,macro_f1,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.035774434814528355,0.003170978544861258,0.006215117947928065,0,0,2,0.5
mlp,kappa,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.03642257024249429,0.005505040992821897,0.010789880345930918,0,0,2,0.5
mlp,accuracy,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.017391304347826153,0.03478260869565214,0.06817391304347818,1,0,1,1.0
mlp,macro_f1,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.01987933037846923,0.034884749568404816,0.06837410915407342,1,0,1,1.0
mlp,kappa,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.020697559609929916,0.041738835204898295,0.08180811700160064,1,0,1,1.0
mlp,accuracy,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.03478260869565214,0.03478260869565214,0.06817391304347818,0,1,1,0.31731050786291415
mlp,macro_f1,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.03489465380028828,0.03323754857561162,0.06514559520819876,0,0,2,0.5
mlp,kappa,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.04213469395177594,0.04202201514281556,0.0823631496799185,0,0,2,0.5
mlp,accuracy,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.02173913043478265,0.07391304347826083,0.14486956521739122,1,0,1,1.0
mlp,macro_f1,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.01891230569793645,0.06972310940806681,0.13665729443981092,1,0,1,1.0
mlp,kappa,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.02699817647076269,0.08942694678041191,0.17527681568960735,1,0,1,1.0
