repeat,seed,shot,classifier,representation,frame_dimensions,encoded_features,num_train,num_test,accuracy,macro_f1,kappa
0,42,3,svm,corrected_pca11,11,176,18,115,0.8347826086956521,0.8420427100214805,0.8017421286634606
0,42,3,knn,corrected_pca11,11,176,18,115,0.7391304347826086,0.7102704764260829,0.6874150584397934
0,42,3,rf,corrected_pca11,11,176,18,115,0.8695652173913043,0.8703876754000385,0.8437216887117232
0,42,3,mlp,corrected_pca11,11,176,18,115,0.8521739130434782,0.8533733028837069,0.8225469728601252
0,42,3,svm,optimized_action_pca11,11,176,18,115,0.8434782608695652,0.8516093388270566,0.8118010728248023
0,42,3,knn,optimized_action_pca11,11,176,18,115,0.8173913043478261,0.8154685647889605,0.7812698125169821
0,42,3,rf,optimized_action_pca11,11,176,18,115,0.8347826086956521,0.8337498863814653,0.8019218565859849
0,42,3,mlp,optimized_action_pca11,11,176,18,115,0.8695652173913043,0.869116286986544,0.8433811512620302
1,43,3,svm,joint_angle11,11,176,18,115,0.808695652173913,0.815966885203537,0.769265845873233
1,43,3,knn,joint_angle11,11,176,18,115,0.7304347826086957,0.7306618556155744,0.6750820269777615
1,43,3,rf,joint_angle11,11,176,18,115,0.8260869565217391,0.8303788378976349,0.790890080916447
1,43,3,mlp,joint_angle11,11,176,18,115,0.8260869565217391,0.8300359783553061,0.7907949790794979
1,43,3,svm,corrected17,17,272,18,115,0.7913043478260869,0.8015242124117181,0.747991234477721
1,43,3,knn,corrected17,17,272,18,115,0.7391304347826086,0.7415371890305155,0.686620038150604
1,43,3,rf,corrected17,17,272,18,115,0.8521739130434782,0.8518055002269141,0.8223373318793166
1,43,3,mlp,corrected17,17,272,18,115,0.8347826086956521,0.8310123923127019,0.8011828935395815
1,43,3,svm,optimized_action17,17,272,18,115,0.782608695652174,0.7896326823588051,0.737250959605191
1,43,3,knn,optimized_action17,17,272,18,115,0.7478260869565218,0.7495391992927022,0.696983463565328
1,43,3,rf,optimized_action17,17,272,18,115,0.8521739130434782,0.8536253640489185,0.8223373318793166
1,43,3,mlp,optimized_action17,17,272,18,115,0.7913043478260869,0.7883446396324336,0.749227693985099
1,43,3,svm,corrected_flex11,11,176,18,115,0.7913043478260869,0.8039388121355334,0.7480832420591457
1,43,3,knn,corrected_flex11,11,176,18,115,0.7304347826086957,0.7205833781901173,0.6753187613843352
1,43,3,rf,corrected_flex11,11,176,18,115,0.8,0.8008388388005351,0.7599164926931107
1,43,3,mlp,corrected_flex11,11,176,18,115,0.8695652173913043,0.8699578056720915,0.8431105047748977
1,43,3,svm,optimized_action_flex11,11,176,18,115,0.8,0.8100815219420364,0.7585797736400146
1,43,3,knn,optimized_action_flex11,11,176,18,115,0.7391304347826086,0.7313182946634479,0.685878175361923
1,43,3,rf,optimized_action_flex11,11,176,18,115,0.8,0.8007119944215536,0.7596983737621514
1,43,3,mlp,optimized_action_flex11,11,176,18,115,0.8434782608695652,0.8431087195793077,0.8116640887999272
1,43,3,svm,corrected_pca11,11,176,18,115,0.8,0.8168423001595847,0.758138258961229
1,43,3,knn,corrected_pca11,11,176,18,115,0.7739130434782608,0.7792225662194703,0.7275129864212158
1,43,3,rf,corrected_pca11,11,176,18,115,0.8173913043478261,0.8195502015035263,0.7801547564861174
1,43,3,mlp,corrected_pca11,11,176,18,115,0.8,0.8018256032961916,0.7589537956803062
1,43,3,svm,optimized_action_pca11,11,176,18,115,0.7739130434782608,0.7902720054552802,0.726616073877663
1,43,3,knn,optimized_action_pca11,11,176,18,115,0.7391304347826086,0.7416517472245027,0.6856492027334853
1,43,3,rf,optimized_action_pca11,11,176,18,115,0.7652173913043478,0.7715802229982902,0.7174961331998908
1,43,3,mlp,optimized_action_pca11,11,176,18,115,0.7478260869565218,0.7544733044733044,0.6952389655487526
