repeat,classifier,feature_set,accuracy,macro_f1,kappa
19,svm,no_palm,0.9166666666666666,0.8095238095238096,0.8947368421052632
0,rf,no_palm,0.8333333333333334,0.8277777777777778,0.7983193277310925
1,rf,no_palm,0.9166666666666666,0.9111111111111111,0.8983050847457628
2,rf,no_palm,1.0,1.0,1.0
3,rf,no_palm,1.0,1.0,1.0
4,rf,no_palm,0.9166666666666666,0.9111111111111111,0.8983050847457628
5,rf,no_palm,0.9166666666666666,0.8095238095238096,0.8947368421052632
6,rf,no_palm,0.9166666666666666,0.9333333333333332,0.8974358974358975
7,rf,no_palm,0.8333333333333334,0.8777777777777778,0.7966101694915254
8,rf,no_palm,0.9166666666666666,0.9111111111111111,0.8983050847457628
9,rf,no_palm,0.9166666666666666,0.9333333333333332,0.8974358974358975
10,rf,no_palm,1.0,1.0,1.0
11,rf,no_palm,0.9166666666666666,0.9111111111111111,0.8983050847457628
12,rf,no_palm,0.9166666666666666,0.9111111111111111,0.8983050847457628
13,rf,no_palm,1.0,1.0,1.0
14,rf,no_palm,0.8333333333333334,0.7222222222222222,0.7931034482758621
15,rf,no_palm,0.9166666666666666,0.9333333333333332,0.8974358974358975
16,rf,no_palm,1.0,1.0,1.0
17,rf,no_palm,0.8333333333333334,0.8333333333333334,0.8
18,rf,no_palm,0.8333333333333334,0.8333333333333334,0.8
19,rf,no_palm,0.8333333333333334,0.7444444444444445,0.7913043478260869
0,svm,no_acceleration,1.0,1.0,1.0
1,svm,no_acceleration,1.0,1.0,1.0
2,svm,no_acceleration,1.0,1.0,1.0
3,svm,no_acceleration,1.0,1.0,1.0
4,svm,no_acceleration,1.0,1.0,1.0
5,svm,no_acceleration,0.9166666666666666,0.8095238095238096,0.8947368421052632
6,svm,no_acceleration,0.9166666666666666,0.9333333333333332,0.8974358974358975
7,svm,no_acceleration,0.9166666666666666,0.8095238095238096,0.8947368421052632
8,svm,no_acceleration,0.9166666666666666,0.9333333333333332,0.8974358974358975
9,svm,no_acceleration,1.0,1.0,1.0
10,svm,no_acceleration,0.9166666666666666,0.9111111111111111,0.8983050847457628
11,svm,no_acceleration,1.0,1.0,1.0
12,svm,no_acceleration,1.0,1.0,1.0
13,svm,no_acceleration,0.9166666666666666,0.9206349206349206,0.8956521739130434
14,svm,no_acceleration,0.9166666666666666,0.8095238095238096,0.8947368421052632
15,svm,no_acceleration,1.0,1.0,1.0
16,svm,no_acceleration,1.0,1.0,1.0
17,svm,no_acceleration,1.0,1.0,1.0
18,svm,no_acceleration,1.0,1.0,1.0
19,svm,no_acceleration,1.0,1.0,1.0
0,rf,no_acceleration,1.0,1.0,1.0
1,rf,no_acceleration,0.9166666666666666,0.9111111111111111,0.8983050847457628
2,rf,no_acceleration,1.0,1.0,1.0
3,rf,no_acceleration,1.0,1.0,1.0
4,rf,no_acceleration,0.9166666666666666,0.9111111111111111,0.8983050847457628
5,rf,no_acceleration,0.9166666666666666,0.8095238095238096,0.8947368421052632
6,rf,no_acceleration,1.0,1.0,1.0
7,rf,no_acceleration,0.9166666666666666,0.8095238095238096,0.8947368421052632
8,rf,no_acceleration,0.9166666666666666,0.9111111111111111,0.8983050847457628
9,rf,no_acceleration,1.0,1.0,1.0
10,rf,no_acceleration,1.0,1.0,1.0
11,rf,no_acceleration,1.0,1.0,1.0
12,rf,no_acceleration,0.9166666666666666,0.9111111111111111,0.8983050847457628
13,rf,no_acceleration,1.0,1.0,1.0
14,rf,no_acceleration,0.8333333333333334,0.7222222222222222,0.7931034482758621
15,rf,no_acceleration,0.9166666666666666,0.9333333333333332,0.8974358974358975
16,rf,no_acceleration,1.0,1.0,1.0
17,rf,no_acceleration,0.8333333333333334,0.8333333333333334,0.8
18,rf,no_acceleration,0.8333333333333334,0.8333333333333334,0.8
19,rf,no_acceleration,0.8333333333333334,0.7444444444444445,0.7913043478260869
0,svm,no_temporal,1.0,1.0,1.0
1,svm,no_temporal,1.0,1.0,1.0
2,svm,no_temporal,1.0,1.0,1.0
3,svm,no_temporal,1.0,1.0,1.0
4,svm,no_temporal,1.0,1.0,1.0
5,svm,no_temporal,0.9166666666666666,0.8095238095238096,0.8947368421052632
6,svm,no_temporal,0.9166666666666666,0.9333333333333332,0.8974358974358975
7,svm,no_temporal,0.9166666666666666,0.8095238095238096,0.8947368421052632
8,svm,no_temporal,0.9166666666666666,0.9333333333333332,0.8974358974358975
9,svm,no_temporal,1.0,1.0,1.0
10,svm,no_temporal,0.9166666666666666,0.9111111111111111,0.8983050847457628
11,svm,no_temporal,1.0,1.0,1.0
12,svm,no_temporal,1.0,1.0,1.0
13,svm,no_temporal,0.9166666666666666,0.9206349206349206,0.8956521739130434
14,svm,no_temporal,0.9166666666666666,0.8095238095238096,0.8947368421052632
15,svm,no_temporal,1.0,1.0,1.0
16,svm,no_temporal,1.0,1.0,1.0
17,svm,no_temporal,1.0,1.0,1.0
18,svm,no_temporal,0.9166666666666666,0.9206349206349206,0.8956521739130434
19,svm,no_temporal,1.0,1.0,1.0
0,rf,no_temporal,1.0,1.0,1.0
1,rf,no_temporal,0.9166666666666666,0.9111111111111111,0.8983050847457628
2,rf,no_temporal,1.0,1.0,1.0
3,rf,no_temporal,1.0,1.0,1.0
4,rf,no_temporal,0.9166666666666666,0.9111111111111111,0.8983050847457628
5,rf,no_temporal,0.9166666666666666,0.8095238095238096,0.8947368421052632
6,rf,no_temporal,0.9166666666666666,0.9333333333333332,0.8974358974358975
7,rf,no_temporal,1.0,1.0,1.0
8,rf,no_temporal,0.9166666666666666,0.9111111111111111,0.8983050847457628
9,rf,no_temporal,1.0,1.0,1.0
10,rf,no_temporal,1.0,1.0,1.0
11,rf,no_temporal,1.0,1.0,1.0
12,rf,no_temporal,0.9166666666666666,0.9111111111111111,0.8983050847457628
13,rf,no_temporal,1.0,1.0,1.0
14,rf,no_temporal,0.9166666666666666,0.9111111111111111,0.8983050847457628
15,rf,no_temporal,0.9166666666666666,0.9333333333333332,0.8974358974358975
16,rf,no_temporal,1.0,1.0,1.0
