dataset,classifier,feature_set,feature_set_base,num_features,num_train,num_test,sequence_mode,shots_per_class,repeats,test_size,random_state,pca_components,c,gamma,knn_neighbors,knn_weights,rf_estimators,rf_max_depth,mlp_hidden_sizes,mlp_alpha,mlp_learning_rate,mlp_max_iter,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,accuracy_mean,accuracy_std,cohen_kappa_mean,cohen_kappa_std,weighted_f1_mean,weighted_f1_std
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,raw_pca17,raw,68,9,8,yes,3,20,0.2,42,17,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.819444,0.162802,0.800357,0.181390,0.836587,0.165000,0.825000,0.150000,0.732533,0.232879,0.811652,0.168251
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,raw_pca24,raw,96,9,8,yes,3,20,0.2,42,24,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.786111,0.147275,0.770476,0.158321,0.829167,0.138654,0.781250,0.147240,0.668756,0.224475,0.771339,0.156094
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,raw_pca32,raw,128,9,8,yes,3,20,0.2,42,32,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.777778,0.126686,0.754762,0.141192,0.817500,0.139513,0.775000,0.122474,0.659388,0.187000,0.760119,0.134282
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,raw_pca48,raw,192,9,8,yes,3,20,0.2,42,48,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.730556,0.179398,0.697222,0.199642,0.752421,0.191547,0.737500,0.167239,0.601023,0.252956,0.712054,0.183856
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,raw,raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.616667,0.195552,0.593360,0.209260,0.639008,0.217414,0.625000,0.181142,0.418845,0.286267,0.596696,0.199817
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,corrected,corrected,68,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.766667,0.174448,0.751706,0.179610,0.791944,0.182789,0.762500,0.176334,0.640983,0.268464,0.755045,0.180594
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,optimized_action,optimized_action,68,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.811111,0.164242,0.801270,0.169490,0.836667,0.167888,0.812500,0.170018,0.714756,0.257648,0.805179,0.174115
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,optimized_full,optimized_full,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.680556,0.205537,0.665278,0.208349,0.706667,0.218804,0.687500,0.195656,0.521522,0.303831,0.676354,0.199570
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,raw_pca8,raw,32,9,8,yes,3,20,0.2,42,8,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.863889,0.145376,0.855198,0.153525,0.886944,0.136934,0.868750,0.139614,0.799912,0.211299,0.860015,0.146437
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,raw_pca12,raw,48,9,8,yes,3,20,0.2,42,12,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.777778,0.181727,0.756019,0.201620,0.793333,0.213904,0.787500,0.172753,0.673073,0.271519,0.768021,0.192612
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,raw_pca17,raw,68,9,8,yes,3,20,0.2,42,17,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.791667,0.180769,0.778095,0.192022,0.821667,0.181480,0.793750,0.168981,0.684666,0.261308,0.784107,0.183771
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,raw_pca24,raw,96,9,8,yes,3,20,0.2,42,24,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.722222,0.155158,0.702288,0.160825,0.769167,0.151754,0.718750,0.141835,0.572577,0.217790,0.702991,0.146686
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,raw_pca32,raw,128,9,8,yes,3,20,0.2,42,32,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.636111,0.167106,0.612487,0.180225,0.666944,0.178786,0.643750,0.159467,0.462743,0.240807,0.628393,0.169479
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,mlp,raw_pca48,raw,192,9,8,yes,3,20,0.2,42,48,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.650000,0.168600,0.629524,0.183702,0.722976,0.192001,0.656250,0.162380,0.482159,0.241262,0.640952,0.176904
