sequence_id,frame_index,joint_index,joint_name,affected,automatic_confidence,oracle_confidence
0078bb88405b,13,5,middle_mcp,1,0.5431353291483227,0.0
0078bb88405b,13,6,middle_pip,1,0.4740080651801874,0.0
0078bb88405b,13,7,ring_mcp,1,0.5382137724674404,0.0
0078bb88405b,13,8,ring_pip,1,0.555000999572579,0.0
0078bb88405b,13,9,little_mcp,1,0.4593533315468658,0.0
0078bb88405b,13,10,little_pip,1,0.22090036542742766,0.0
0078bb88405b,14,0,thumb_cmc,1,0.015146099787982311,0.0
0078bb88405b,14,1,thumb_mcp,1,0.010793353766297453,0.0
0078bb88405b,14,2,thumb_ip,1,0.268616994220824,0.0
0078bb88405b,14,3,index_mcp,1,0.40224126368264895,0.0
0078bb88405b,14,4,index_pip,1,0.16814869796163665,0.0
0078bb88405b,14,5,middle_mcp,1,0.37325874297648554,0.0
0078bb88405b,14,6,middle_pip,1,0.5846997388867756,0.0
0078bb88405b,14,7,ring_mcp,1,0.4381176052675013,0.0
0078bb88405b,14,8,ring_pip,1,0.3619786204331361,0.0
0078bb88405b,14,9,little_mcp,1,0.38332921685105864,0.0
0078bb88405b,14,10,little_pip,1,0.15354902625687086,0.0
0078bb88405b,15,0,thumb_cmc,1,0.0768364276791155,0.0
0078bb88405b,15,1,thumb_mcp,1,0.02068758660301412,0.0
0078bb88405b,15,2,thumb_ip,1,0.26125056656874535,0.0
0078bb88405b,15,3,index_mcp,1,0.1317499954161207,0.0
0078bb88405b,15,4,index_pip,1,0.7059124230946408,0.0
0078bb88405b,15,5,middle_mcp,1,0.5859660743912369,0.0
0078bb88405b,15,6,middle_pip,1,0.5680070823692739,0.0
0078bb88405b,15,7,ring_mcp,1,0.4442647095995729,0.0
0078bb88405b,15,8,ring_pip,1,0.3390843576148403,0.0
0078bb88405b,15,9,little_mcp,1,0.21708960949626777,0.0
0078bb88405b,15,10,little_pip,1,0.7325742230248032,0.0
0078bb88405b,16,0,thumb_cmc,1,0.02090963516636366,0.0
0078bb88405b,16,1,thumb_mcp,1,0.010568586689811154,0.0
0078bb88405b,16,2,thumb_ip,1,0.2386638348860138,0.0
0078bb88405b,16,3,index_mcp,1,0.06474829748518049,0.0
0078bb88405b,16,4,index_pip,1,0.07104138063825964,0.0
0078bb88405b,16,5,middle_mcp,1,0.7242378676818363,0.0
0078bb88405b,16,6,middle_pip,1,0.7958603131429233,0.0
0078bb88405b,16,7,ring_mcp,1,0.5156946148334998,0.0
0078bb88405b,16,8,ring_pip,1,0.11431124356347243,0.0
0078bb88405b,16,9,little_mcp,1,0.10513853388049946,0.0
0078bb88405b,16,10,little_pip,1,0.27442213936973436,0.0
0078bb88405b,17,0,thumb_cmc,1,0.030214006937721576,0.0
0078bb88405b,17,1,thumb_mcp,1,0.09962785459752262,0.0
0078bb88405b,17,2,thumb_ip,1,0.1159133316311281,0.0
0078bb88405b,17,3,index_mcp,1,0.4951452918200613,0.0
0078bb88405b,17,4,index_pip,1,0.793345541710728,0.0
0078bb88405b,17,5,middle_mcp,1,0.598429382087354,0.0
0078bb88405b,17,6,middle_pip,1,0.43084605295925105,0.0
0078bb88405b,17,7,ring_mcp,1,0.6270838961698529,0.0
0078bb88405b,17,8,ring_pip,1,0.33032338474868345,0.0
0078bb88405b,17,9,little_mcp,1,0.14931759834843839,0.0
0078bb88405b,17,10,little_pip,1,0.3398037830765651,0.0
0078bb88405b,18,0,thumb_cmc,1,0.03286992862973238,0.0
