sequence_id,label,corruption_type,duration,finger_group,severity,random_seed,num_frames,num_affected_joint_frames,method,all_joint_mae,all_joint_rmse,median_absolute_error,p95_absolute_error,corrupted_joint_mae,visible_joint_mae,recovery_ratio,velocity_error,acceleration_error,amplitude_retention_mean,amplitude_retention_median,amplitude_within_0p9_1p1,amplitude_below_0p8,amplitude_above_1p2,temporal_lag_frames
05c116dc4ea7,three_finger_bent,occlusion,5,middle,short,44,42,10,Automatic Confidence,4.135097205481082,7.633212809906871,1.4459287330059425,17.997950770755587,1.697036445427497,4.1890366028274,0.011294761750981652,5.0808922526797975,8.044967437969081,0.849271768444904,0.857848015776565,0.36363636363636365,0.2727272727272727,0.0,1.0
05c116dc4ea7,three_finger_bent,occlusion,5,middle,short,44,42,10,Oracle Confidence,0.10883757355925325,0.9457354246045944,0.0,0.0,5.0282958984375,0.0,-1.9295201689076564,0.07286088693961336,0.10644933527166194,1.0027262887595976,1.0,1.0,0.0,0.0,0.0
088859eb0563,deer_horn,gaussian,0,all,medium,45,108,1188,Corrupted,9.100525711521957,12.149252809716424,6.924406051635742,25.648803329467743,9.100525711521957,nan,0.0,11.067033010918708,19.379973645480174,1.6779443327901271,1.3972644332223039,0.09090909090909091,0.0,0.9090909090909091,0.0
088859eb0563,deer_horn,gaussian,0,all,medium,45,108,1188,Kalman,9.607724302144163,12.338390446738982,7.972846984863281,25.286428833007808,9.607724302144163,nan,-0.05573288914288255,3.2743342131401585,4.630814321658623,0.47218238027995646,0.44100409679899194,0.0,1.0,0.0,5.0
088859eb0563,deer_horn,gaussian,0,all,medium,45,108,1188,One-Euro,8.665249981864132,10.914987494445434,7.184497833251953,21.550215148925737,8.665249981864132,nan,0.04782973461705986,3.337307494883833,4.746516252259243,0.638853547913909,0.5751464465771002,0.09090909090909091,0.7272727272727273,0.0,3.0
088859eb0563,deer_horn,gaussian,0,all,medium,45,108,1188,Automatic Confidence,9.719519177137993,13.110728353060553,7.647703026726944,25.731306234776955,9.719519177137993,nan,-0.06801733056282044,4.476911607509212,5.447184233122446,1.1329429844613095,1.0899495531892487,0.2727272727272727,0.18181818181818182,0.2727272727272727,3.0
088859eb0563,deer_horn,gaussian,0,all,medium,45,108,1188,Oracle Confidence,12.752337998412674,18.341149313600255,7.796745300292969,43.25025749206538,12.752337998412674,nan,-0.40127487165573794,3.29922403353397,4.722491835239207,0.0,0.0,0.0,1.0,0.0,nan
0c54bf5d9c80,flower_pinch,spike,3,thumb,fixed,46,36,6,Corrupted,1.0898999589862246,9.546725707834067,0.0,0.0,71.93339729309082,0.0,0.0,0.7821360204126928,1.6102800420261323,1.4220299990415628,1.0,0.8181818181818182,0.0,0.18181818181818182,0.0
0c54bf5d9c80,flower_pinch,spike,3,thumb,fixed,46,36,6,Kalman,5.793741495922358,9.309621660955468,3.2958145141601562,18.96762466430664,20.918179829915363,5.561057829245543,0.7092007243216282,3.191406804865057,4.635971232531542,0.4546285638110979,0.40356062176505436,0.0,0.9090909090909091,0.09090909090909091,3.0
0c54bf5d9c80,flower_pinch,spike,3,thumb,fixed,46,36,6,One-Euro,4.276255463108872,8.225611918238009,2.1736297607421875,16.116466522216797,37.59288533528646,3.763691926613832,0.47739316159203227,2.980272644835633,4.250515575714927,0.8758830150519685,0.6687753894390247,0.0,0.8181818181818182,0.09090909090909091,1.0
0c54bf5d9c80,flower_pinch,spike,3,thumb,fixed,46,36,6,Automatic Confidence,2.6582095263351992,6.06977979591913,0.6152369659091619,12.04777409721904,2.9905740499990308,2.6530962259711406,0.9584257915997765,2.7869996653580706,4.159645964301361,0.9803133276864638,0.9824786519205976,0.6363636363636364,0.09090909090909091,0.09090909090909091,1.0
0c54bf5d9c80,flower_pinch,spike,3,thumb,fixed,46,36,6,Oracle Confidence,0.03705346463906645,0.349060830090273,0.0,0.0,2.4455286661783853,0.0,0.966002875462504,0.050797341086647727,0.08993677149481952,1.0201227035258447,1.0,0.9090909090909091,0.0,0.0,0.0
224a51a1dd12,orchid_palm,occlusion,5,index,short,47,32,10,Corrupted,0.1379436579617587,0.9025601391301765,0.0,0.0,4.855616760253906,0.0,0.0,0.09931252219460228,0.1427886962890625,0.984255293187431,1.0,0.9090909090909091,0.0,0.0,0.0
224a51a1dd12,orchid_palm,occlusion,5,index,short,47,32,10,Kalman,4.803639606996016,7.2709480247684635,3.1431655883789062,13.743234252929685,4.468572998046875,4.813436876263535,0.07971052521591349,2.692052444055283,3.877640371611624,0.33653428514927386,0.36425298397248523,0.0,1.0,0.0,4.0
224a51a1dd12,orchid_palm,occlusion,5,index,short,47,32,10,One-Euro,3.009237917986783,4.906859517576907,1.9023361206054688,9.081600189208984,4.621356201171875,2.962099956490143,0.04824527359728892,2.323940377780769,3.428821494362571,0.6194782471824579,0.6016719715619566,0.0,0.9090909090909091,0.0,1.0
224a51a1dd12,orchid_palm,occlusion,5,index,short,47,32,10,Automatic Confidence,1.961059290114477,5.0960312673806145,0.5359927313424606,7.122093796814709,4.859834665410648,1.8762997762169282,-0.0008686651696376835,2.308337607491205,3.390182275735592,0.8898461833411001,0.9463622231261194,0.45454545454545453,0.18181818181818182,0.0,1.0
224a51a1dd12,orchid_palm,occlusion,5,index,short,47,32,10,Oracle Confidence,0.31756262345747516,2.268392789665232,0.0,0.0,11.178204345703126,0.0,-1.302118329684364,0.2490601301892412,0.3483499237985322,1.0196450156582417,1.0,0.8181818181818182,0.0,0.0,0.0
