classifier,metric,first,second,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
knn,macro_f1,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.04083192567617578,0.04609521622066325,0.020726937000083934,5,0,15,0.0019855499267578125
knn,kappa,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.04424339999728265,0.04640121379749288,0.02086453029103986,5,0,15,0.001689910888671875
knn,accuracy,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.02391304347826087,0.05966985414247084,0.026830838620966878,7,0,13,0.08969497680664062
knn,macro_f1,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.02102253227836919,0.0670297793321354,0.030140264592660768,7,0,13,0.1893482208251953
knn,kappa,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.028954756878674926,0.07165131117335172,0.032218358745820026,7,0,13,0.11398696899414062
knn,accuracy,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.027826086956521758,0.058241398433531676,0.026188526600021852,6,3,11,0.07184341584432571
knn,macro_f1,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.020638447502174674,0.061100534066041996,0.02747415077078279,9,0,11,0.2942523956298828
knn,kappa,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.03374895343367619,0.06990231256011817,0.031431913057048635,7,0,13,0.069580078125
rf,accuracy,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,0.006956521739130445,0.02994639192647403,0.01346554002195151,11,4,5,0.16916701096297093
rf,macro_f1,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,0.008177411339559192,0.031494230418928286,0.014161533089124125,14,0,6,0.14290618896484375
rf,kappa,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,0.008325753505129962,0.03575850053795539,0.016078982780330785,12,0,8,0.1893482208251953
rf,accuracy,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,0.01782608695652174,0.02863960270499904,0.012877935925764212,14,1,5,0.021562084223154684
