shot,classifier,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
5,svm,optimized_action_minus_raw_pca17,0.09408695652173915,0.05709250279359186,0.01598590078220572,48,0,2,1.2899713341058642e-09
5,svm,optimized_action_minus_corrected,-0.00921739130434783,0.023488564566750927,0.006576798078690258,15,6,29,0.00954825797804111
5,knn,optimized_action_minus_raw,0.3248695652173913,0.06555299159454381,0.018354837646472267,50,0,0,7.522823720955151e-10
5,knn,optimized_action_minus_raw_pca17,0.07756521739130436,0.07119482575026494,0.01993455121007418,42,2,6,3.301637458818897e-08
5,knn,optimized_action_minus_corrected,-0.01826086956521739,0.03028534742133565,0.008479897277973983,11,4,35,0.00038321281423870604
5,rf,optimized_action_minus_raw,0.3069565217391304,0.059034448947804095,0.016529645705385145,50,0,0,7.461781631594519e-10
5,rf,optimized_action_minus_raw_pca17,0.06034782608695651,0.056042382017814196,0.015691866964987974,41,2,7,7.125330098263652e-08
5,rf,optimized_action_minus_corrected,-0.00452173913043479,0.022490661788281345,0.006297385300718776,19,9,22,0.15070788534741325
5,mlp,optimized_action_minus_raw,0.31686956521739135,0.0602492616964859,0.016869793275016053,50,0,0,7.527930751217349e-10
5,mlp,optimized_action_minus_raw_pca17,0.06521739130434784,0.04817265733726796,0.013488344054435027,46,1,3,4.089691113392997e-09
5,mlp,optimized_action_minus_corrected,-0.015478260869565219,0.03151091268350455,0.008823055551381272,12,6,32,0.0024613807640483138
10,svm,optimized_action_minus_raw,0.26173913043478264,0.06030169894812455,0.016884475705474872,50,0,0,7.431427745602855e-10
10,svm,optimized_action_minus_raw_pca17,0.03808695652173912,0.04419889741929412,0.012375691277402354,40,4,6,1.5281762776367471e-06
10,svm,optimized_action_minus_corrected,-0.010782608695652179,0.02069199821598031,0.005793759500474486,11,8,31,0.0008267972369384786
10,knn,optimized_action_minus_raw,0.32086956521739124,0.053242676573362194,0.014907949440541416,50,0,0,7.416292435364431e-10
10,knn,optimized_action_minus_raw_pca17,0.040000000000000015,0.05518828400912149,0.01545271952255402,38,0,12,2.18723768893802e-05
10,knn,optimized_action_minus_corrected,-0.020521739130434778,0.030410425035679145,0.008514919009990159,12,4,34,5.0376407148446624e-05
10,rf,optimized_action_minus_raw,0.21930434782608696,0.04355784021544692,0.012196195260325136,50,0,0,7.419653442623655e-10
10,rf,optimized_action_minus_raw_pca17,0.023130434782608695,0.044564178142707536,0.01247796987995811,35,2,13,0.0009302751343818045
10,rf,optimized_action_minus_corrected,-0.002956521739130429,0.02127220290090071,0.005956216812252198,21,6,23,0.42502154929929004
10,mlp,optimized_action_minus_raw,0.26556521739130434,0.06323861852812673,0.017706813187875484,50,0,0,7.448277293787081e-10
10,mlp,optimized_action_minus_raw_pca17,0.024000000000000004,0.041322558914427064,0.011570316496039578,34,6,10,0.00041096443483378453
10,mlp,optimized_action_minus_corrected,-0.00921739130434783,0.026341368128064716,0.00737558307585812,14,7,29,0.0138301059493184
