repeat,shot,num_train,num_test,classifier,feature_set,accuracy,macro_f1,kappa
1,1,6,115,rf,optimized_action,0.591304347826087,0.5940380551462205,0.5088596092685145
1,1,6,115,mlp,optimized_action,0.4782608695652174,0.4661148383739866,0.37590448625180906
1,1,6,115,svm,optimized_full,0.26956521739130435,0.2760645436518849,0.12595005428881645
1,1,6,115,knn,optimized_full,0.2956521739130435,0.29020144841378964,0.1571661237785016
1,1,6,115,rf,optimized_full,0.2956521739130435,0.3111715825760589,0.15716612377850148
1,1,6,115,mlp,optimized_full,0.34782608695652173,0.34558670011256215,0.21204092819294718
1,3,18,115,svm,raw,0.4260869565217391,0.43212378447313887,0.30974899963623126
1,3,18,115,knn,raw,0.3565217391304348,0.349771027345398,0.22339843037050555
1,3,18,115,rf,raw,0.4434782608695652,0.44893486143486144,0.3298124203241669
1,3,18,115,mlp,raw,0.41739130434782606,0.4170149167268982,0.2982695810564663
1,3,18,115,svm,raw_pca17,0.6,0.6046815231468932,0.5205727750589089
1,3,18,115,knn,raw_pca17,0.6086956521739131,0.6204729401914166,0.5303140315846796
1,3,18,115,rf,raw_pca17,0.6695652173913044,0.6863172003218633,0.6025466120964075
1,3,18,115,mlp,raw_pca17,0.6434782608695652,0.6429809772267017,0.5719862018881627
1,3,18,115,svm,corrected,0.7565217391304347,0.7676359460757135,0.7071928707829408
1,3,18,115,knn,corrected,0.7130434782608696,0.7169152880836495,0.6555636231620985
1,3,18,115,rf,corrected,0.8,0.8038972233910675,0.7596547024079964
1,3,18,115,mlp,corrected,0.7478260869565218,0.7593826679192532,0.697423335147886
1,3,18,115,svm,optimized_action,0.6869565217391305,0.6994564784101386,0.622159350187095
1,3,18,115,knn,optimized_action,0.6434782608695652,0.6403947791142913,0.5714025997636578
1,3,18,115,rf,optimized_action,0.808695652173913,0.813580879506274,0.770250635670178
1,3,18,115,mlp,optimized_action,0.7478260869565218,0.759907750491982,0.6972310485701316
1,3,18,115,svm,optimized_full,0.4,0.40717506102909057,0.2788985823336968
1,3,18,115,knn,optimized_full,0.3826086956521739,0.3723712377047281,0.2612196887441188
1,3,18,115,rf,optimized_full,0.5565217391304348,0.5624895572263994,0.46822014688548375
