classifier,representation,true_label,predicted_label,count,row_normalized
svm,compact_optimized_action7,deer_horn,orchid_palm,4,0.010526315789473684
svm,compact_optimized_action7,deer_horn,prayer_beads,0,0.0
svm,compact_optimized_action7,deer_horn,three_finger_bent,0,0.0
svm,compact_optimized_action7,flower_pinch,deer_horn,4,0.010526315789473684
svm,compact_optimized_action7,flower_pinch,flower_pinch,292,0.7684210526315789
svm,compact_optimized_action7,flower_pinch,orchid_finger,4,0.010526315789473684
svm,compact_optimized_action7,flower_pinch,orchid_palm,63,0.16578947368421051
svm,compact_optimized_action7,flower_pinch,prayer_beads,0,0.0
svm,compact_optimized_action7,flower_pinch,three_finger_bent,17,0.04473684210526316
svm,compact_optimized_action7,orchid_finger,deer_horn,27,0.075
svm,compact_optimized_action7,orchid_finger,flower_pinch,7,0.019444444444444445
svm,compact_optimized_action7,orchid_finger,orchid_finger,322,0.8944444444444445
svm,compact_optimized_action7,orchid_finger,orchid_palm,4,0.011111111111111112
svm,compact_optimized_action7,orchid_finger,prayer_beads,0,0.0
svm,compact_optimized_action7,orchid_finger,three_finger_bent,0,0.0
svm,compact_optimized_action7,orchid_palm,deer_horn,0,0.0
svm,compact_optimized_action7,orchid_palm,flower_pinch,50,0.11363636363636363
svm,compact_optimized_action7,orchid_palm,orchid_finger,34,0.07727272727272727
svm,compact_optimized_action7,orchid_palm,orchid_palm,353,0.8022727272727272
svm,compact_optimized_action7,orchid_palm,prayer_beads,1,0.0022727272727272726
svm,compact_optimized_action7,orchid_palm,three_finger_bent,2,0.004545454545454545
svm,compact_optimized_action7,prayer_beads,deer_horn,0,0.0
svm,compact_optimized_action7,prayer_beads,flower_pinch,5,0.013157894736842105
svm,compact_optimized_action7,prayer_beads,orchid_finger,2,0.005263157894736842
svm,compact_optimized_action7,prayer_beads,orchid_palm,43,0.11315789473684211
svm,compact_optimized_action7,prayer_beads,prayer_beads,330,0.868421052631579
svm,compact_optimized_action7,prayer_beads,three_finger_bent,0,0.0
svm,compact_optimized_action7,three_finger_bent,deer_horn,0,0.0
svm,compact_optimized_action7,three_finger_bent,flower_pinch,42,0.11666666666666667
svm,compact_optimized_action7,three_finger_bent,orchid_finger,1,0.002777777777777778
svm,compact_optimized_action7,three_finger_bent,orchid_palm,9,0.025
svm,compact_optimized_action7,three_finger_bent,prayer_beads,1,0.002777777777777778
svm,compact_optimized_action7,three_finger_bent,three_finger_bent,307,0.8527777777777777
knn,compact_optimized_action7,deer_horn,deer_horn,348,0.9157894736842105
knn,compact_optimized_action7,deer_horn,flower_pinch,10,0.02631578947368421
knn,compact_optimized_action7,deer_horn,orchid_finger,17,0.04473684210526316
knn,compact_optimized_action7,deer_horn,orchid_palm,5,0.013157894736842105
knn,compact_optimized_action7,deer_horn,prayer_beads,0,0.0
knn,compact_optimized_action7,deer_horn,three_finger_bent,0,0.0
knn,compact_optimized_action7,flower_pinch,deer_horn,3,0.007894736842105263
knn,compact_optimized_action7,flower_pinch,flower_pinch,249,0.6552631578947369
knn,compact_optimized_action7,flower_pinch,orchid_finger,0,0.0
knn,compact_optimized_action7,flower_pinch,orchid_palm,106,0.2789473684210526
knn,compact_optimized_action7,flower_pinch,prayer_beads,0,0.0
knn,compact_optimized_action7,flower_pinch,three_finger_bent,22,0.05789473684210526
knn,compact_optimized_action7,orchid_finger,deer_horn,68,0.18888888888888888
knn,compact_optimized_action7,orchid_finger,flower_pinch,9,0.025
knn,compact_optimized_action7,orchid_finger,orchid_finger,275,0.7638888888888888
knn,compact_optimized_action7,orchid_finger,orchid_palm,8,0.022222222222222223
knn,compact_optimized_action7,orchid_finger,prayer_beads,0,0.0
knn,compact_optimized_action7,orchid_finger,three_finger_bent,0,0.0
knn,compact_optimized_action7,orchid_palm,deer_horn,0,0.0
knn,compact_optimized_action7,orchid_palm,flower_pinch,82,0.18636363636363637
knn,compact_optimized_action7,orchid_palm,orchid_finger,22,0.05
knn,compact_optimized_action7,orchid_palm,orchid_palm,334,0.759090909090909
knn,compact_optimized_action7,orchid_palm,prayer_beads,1,0.0022727272727272726
knn,compact_optimized_action7,orchid_palm,three_finger_bent,1,0.0022727272727272726
knn,compact_optimized_action7,prayer_beads,deer_horn,0,0.0
knn,compact_optimized_action7,prayer_beads,flower_pinch,11,0.02894736842105263
knn,compact_optimized_action7,prayer_beads,orchid_finger,0,0.0
knn,compact_optimized_action7,prayer_beads,orchid_palm,45,0.11842105263157894
knn,compact_optimized_action7,prayer_beads,prayer_beads,324,0.8526315789473684
knn,compact_optimized_action7,prayer_beads,three_finger_bent,0,0.0
knn,compact_optimized_action7,three_finger_bent,deer_horn,0,0.0
knn,compact_optimized_action7,three_finger_bent,flower_pinch,25,0.06944444444444445
knn,compact_optimized_action7,three_finger_bent,orchid_finger,0,0.0
knn,compact_optimized_action7,three_finger_bent,orchid_palm,9,0.025
knn,compact_optimized_action7,three_finger_bent,prayer_beads,0,0.0
knn,compact_optimized_action7,three_finger_bent,three_finger_bent,326,0.9055555555555556
rf,compact_optimized_action7,deer_horn,deer_horn,333,0.8763157894736842
rf,compact_optimized_action7,deer_horn,flower_pinch,6,0.015789473684210527
rf,compact_optimized_action7,deer_horn,orchid_finger,35,0.09210526315789473
rf,compact_optimized_action7,deer_horn,orchid_palm,6,0.015789473684210527
rf,compact_optimized_action7,deer_horn,prayer_beads,0,0.0
rf,compact_optimized_action7,deer_horn,three_finger_bent,0,0.0
rf,compact_optimized_action7,flower_pinch,deer_horn,6,0.015789473684210527
rf,compact_optimized_action7,flower_pinch,flower_pinch,283,0.7447368421052631
rf,compact_optimized_action7,flower_pinch,orchid_finger,10,0.02631578947368421
rf,compact_optimized_action7,flower_pinch,orchid_palm,45,0.11842105263157894
rf,compact_optimized_action7,flower_pinch,prayer_beads,3,0.007894736842105263
rf,compact_optimized_action7,flower_pinch,three_finger_bent,33,0.0868421052631579
rf,compact_optimized_action7,orchid_finger,deer_horn,54,0.15
rf,compact_optimized_action7,orchid_finger,flower_pinch,14,0.03888888888888889
rf,compact_optimized_action7,orchid_finger,orchid_finger,291,0.8083333333333333
rf,compact_optimized_action7,orchid_finger,orchid_palm,1,0.002777777777777778
