repeat,index,actuator_name,semantic_role,finger_group,type,included_in_flex11,constant_on_analysis_partition,oa_discriminative_f_raw,oa_discriminative_scaled,oa_within_class_variability_raw,oa_within_class_penalty_scaled,oa_instability_raw,oa_instability_penalty_scaled,oa_redundancy_max_abs_correlation,refinement_sensitivity_penalty,utility_score,utility_rank
2,13,right_t-cmc_actuator,thumb opposition / CMC,thumb,opposition,yes,no,19.883308458497147,0.31200754164130906,0.3037260373546589,0.81830589381827,0.6433249589245398,0.7103752117903244,0.6976358769175017,0.34540579153142664,-0.19110022443866256,14
2,14,right_t-abd_actuator,thumb abduction,thumb,abduction,no,no,18.860196851578646,0.3031833545661772,0.3132870397671356,0.8496640441441712,0.6122326872390422,0.6359975701320676,0.6976358769175017,0.4055101244844153,-0.20190407070656669,15
2,15,right_t-mcp_actuator,thumb MCP flexion,thumb,flexion,yes,no,133.72774447913739,0.6395034960738498,0.18623971189816804,0.4329745555378078,0.4899145623509784,0.34339322930875654,0.6029720066972221,0.13543518823953854,0.3518201320871324,4
2,16,right_t-pip_actuator,thumb IP flexion,thumb,flexion,yes,no,80.64417137809562,0.5515147091686832,0.23016209575476224,0.5770310734871872,0.6774878733610418,0.7920983175724283,0.5920297284886343,0.1607493922708528,0.13592040916847759,7
3,0,right_wrist_actuator,wrist,wrist,wrist,no,no,2.247882728323786,0.0,0.24088784236050378,0.551675402533211,0.46072118301645115,0.26719406328636475,0.4374885425919834,0.8276253932071871,-0.3811247536604513,17
3,1,right_p-abd_actuator,little abduction,little,abduction,no,no,35.10047096324093,0.42038760637824263,0.2300564168717838,0.5194127400809294,0.6359892840155195,0.673252025690337,0.6804092612103061,0.315352025136833,0.006519823267871996,9
3,2,right_p-mcp_actuator,little MCP flexion,little,flexion,yes,no,15.555099227380605,0.28430042337733463,0.28677416985725285,0.6883531737780196,0.5948112047820516,0.5778513974303199,0.5224725665586577,0.26859895310525433,-0.12201887750282106,13
3,3,right_p-pip_actuator,little PIP flexion,little,flexion,yes,no,145.40536261132772,0.6647810943866255,0.21542881428414704,0.4758427219644299,0.47252813523851234,0.29454819637825413,0.5546562829866546,0.12573639617044477,0.38485187274630234,5
3,4,right_r-abd_actuator,ring abduction,ring,abduction,no,no,42.9021073255627,0.4545409267379092,0.22907931735938056,0.5165023353716154,0.7770245604167063,1.0,0.6804092612103061,0.2041451946137078,-0.007267825478596744,10
3,5,right_r-mcp_actuator,ring MCP flexion,ring,flexion,yes,no,44.32965226281946,0.4601266090629915,0.25576707687024686,0.595994935639551,0.5762859372135888,0.5349323930081837,0.8580432060768024,0.20397928099506604,0.04483802349068682,8
3,6,right_r-pip_actuator,ring PIP flexion,ring,flexion,yes,no,998.0154002463195,1.0,0.055675880225137225,0.0,0.34539135228692597,0.0,0.9354239638851337,0.0,0.85968640541723,1
3,7,right_m-abd_actuator,middle abduction,middle,abduction,no,no,12.516055512708531,0.24889736141639046,0.3914022172793197,1.0,0.5396144771322466,0.4499726183878861,0.32391890601682244,1.0,-0.28968499816371013,16
3,8,right_m-mcp_actuator,middle MCP flexion,middle,flexion,yes,no,27.138557499010332,0.37689393176555724,0.3185804247384279,0.7830918087038876,0.5456642622699865,0.46398865103735015,0.8580432060768024,0.2671951331851568,-0.08046250150717857,12
3,9,right_m-pip_actuator,middle PIP flexion,middle,flexion,yes,no,453.75616649789845,0.8626216019252617,0.09843915591567537,0.12737539766990827,0.38549551106026614,0.09291258878599058,0.9354239638851337,0.05094981526273071,0.6642391678784069,3
3,10,right_i-abd_actuator,index abduction,index,abduction,no,no,30.062323812354535,0.39414979940953804,0.22522056037938729,0.5050085782423661,0.7394906558872192,0.913042129700545,0.35410634442347405,0.33599653204028823,-0.018226202560726844,11
3,11,right_i-mcp_actuator,index MCP flexion,index,flexion,yes,no,76.26611175365952,0.5532171603210688,0.2572840475197506,0.6005134094143948,0.46620115647834925,0.27988996656415527,0.7578557626871474,0.15444632553743431,0.21026550142095185,6
3,12,right_i-pip_actuator,index PIP flexion,index,flexion,yes,no,484.42134892110204,0.8740125169915377,0.09126553787476595,0.10600794075885966,0.4209270654047955,0.17499977224912228,0.7578557626871474,0.04290697602913132,0.6923961665445565,2
3,13,right_t-cmc_actuator,thumb opposition / CMC,thumb,opposition,yes,no,21.466381818716847,0.3375973880083565,0.3107517571874729,0.7597732105276249,0.6293490949280989,0.6578681558620822,0.7143366847896919,0.349880782313111,-0.14355216586138664,14
3,14,right_t-abd_actuator,thumb abduction,thumb,abduction,no,no,16.83001705800579,0.2972507188545081,0.32911924432683565,0.8144829103996324,0.5971550555476342,0.5832815884384172,0.7143366847896919,0.44267076097720903,-0.19657744329811858,15
3,15,right_t-mcp_actuator,thumb MCP flexion,thumb,flexion,yes,no,141.9175738573591,0.6605723050004878,0.18381277494674683,0.3816706661918209,0.48162847413680604,0.3156316967366359,0.6247221473307422,0.13184519631181227,0.3885431975588222,4
3,16,right_t-pip_actuator,thumb IP flexion,thumb,flexion,yes,no,82.80768668196995,0.567403331813279,0.2280918451734172,0.5135610344459035,0.6583205168215012,0.7249886214512159,0.624722147330742,0.16245322334100212,0.17593904331079827,7
4,0,right_wrist_actuator,wrist,wrist,wrist,no,no,3.609916883872697,0.0,0.238905783191377,0.5232785169928811,0.4546295724027743,0.23352509610995892,0.46938286408467,0.7981504933631008,-0.3676546520873777,17
4,1,right_p-abd_actuator,little abduction,little,abduction,no,no,35.87914918358444,0.38997221461931303,0.23386831566840027,0.5086734249599685,0.6539682284064576,0.7116618936596922,0.6724583662140288,0.40221486732413103,-0.040729505383341524,9
4,2,right_p-mcp_actuator,little MCP flexion,little,flexion,yes,no,19.114340885555336,0.27628452110979057,0.27424310491335196,0.625731750406704,0.638984072874363,0.6757206653814677,0.5486547005402616,0.3505466250959052,-0.150172748413604,13
4,3,right_p-pip_actuator,little PIP flexion,little,flexion,yes,no,149.3108949419834,0.6534734787552583,0.22992035249768708,0.49722712477285713,0.4608195691117391,0.24837251839424046,0.574425187566884,0.1661418080203837,0.3684071445451058,4
4,4,right_r-abd_actuator,ring abduction,ring,abduction,no,no,43.29948989618744,0.42435286114540727,0.23647484767665664,0.5162305237787062,0.7741784504330224,1.0,0.6724583662140287,0.2774325564832963,-0.04718840820386803,10
