repeat,seed,k,selected_indices_inner_train,classifier,num_train,num_validation,accuracy,macro_f1,kappa,combined_score
1,43,7,3;6;9;11;12;15;16,svm,18,92,0.8695652173913043,0.8693992202334805,0.8435817512043071,0.8694490193808275
1,43,7,3;6;9;11;12;15;16,knn,18,92,0.8260869565217391,0.8256745494648721,0.7914423349390762,0.8257982715819322
1,43,7,3;6;9;11;12;15;16,rf,18,92,0.8695652173913043,0.8673330527497195,0.8437146092865233,0.868002702142195
1,43,7,3;6;9;11;12;15;16,mlp,18,92,0.8152173913043478,0.7990349927849928,0.7780930760499433,0.8038897123407992
1,43,9,3;5;6;9;10;11;12;15;16,svm,18,92,0.8152173913043478,0.8165746981031937,0.7784702549575071,0.8161675060635399
1,43,9,3;5;6;9;10;11;12;15;16,knn,18,92,0.8152173913043478,0.8116405995438254,0.7784074808727685,0.8127136370719821
1,43,9,3;5;6;9;10;11;12;15;16,rf,18,92,0.8586956521739131,0.8539316681631672,0.8307387489385791,0.8553608633663909
1,43,9,3;5;6;9;10;11;12;15;16,mlp,18,92,0.7934782608695652,0.7883931065303614,0.7521973348454778,0.7899186528321226
1,43,11,1;3;4;5;6;9;10;11;12;15;16,svm,18,92,0.782608695652174,0.7807373271889402,0.7396717600452745,0.7812987377279103
1,43,11,1;3;4;5;6;9;10;11;12;15;16,knn,18,92,0.7608695652173914,0.7568619811957821,0.7132332105412298,0.7580642564022648
1,43,11,1;3;4;5;6;9;10;11;12;15;16,rf,18,92,0.8804347826086957,0.8783808709211934,0.8566978193146417,0.8789970444274441
1,43,11,1;3;4;5;6;9;10;11;12;15;16,mlp,18,92,0.8043478260869565,0.8033731522575337,0.7655055225148684,0.8036655544063604
1,43,13,1;3;4;5;6;8;9;10;11;12;13;15;16,svm,18,92,0.7934782608695652,0.7900565175565175,0.7526881720430108,0.7910830405504318
1,43,13,1;3;4;5;6;8;9;10;11;12;13;15;16,knn,18,92,0.7608695652173914,0.7582621327026698,0.7133956386292835,0.7590443624570863
1,43,13,1;3;4;5;6;8;9;10;11;12;13;15;16,rf,18,92,0.8695652173913043,0.8676281827491507,0.8436703483432455,0.8682092931417966
1,43,13,1;3;4;5;6;8;9;10;11;12;13;15;16,mlp,18,92,0.8043478260869565,0.7951112728721837,0.765704584040747,0.7978822388366156
2,44,5,3;6;9;12;15,svm,18,92,0.8260869565217391,0.8209472212818322,0.7918552036199095,0.8224891418538043
2,44,5,3;6;9;12;15,knn,18,92,0.8586956521739131,0.8577123552123552,0.8307866440294285,0.8580073443008226
2,44,5,3;6;9;12;15,rf,18,92,0.7934782608695652,0.7837177262209232,0.7528280542986425,0.7866458866155157
2,44,5,3;6;9;12;15,mlp,18,92,0.782608695652174,0.7732943753202375,0.7396717600452745,0.7760886714198183
2,44,7,3;6;9;11;12;15;16,svm,18,92,0.8586956521739131,0.8595345396223006,0.8306428773718493,0.8592828733877843
2,44,7,3;6;9;11;12;15;16,knn,18,92,0.8586956521739131,0.8576086524709995,0.8303064699205448,0.8579347523818736
2,44,7,3;6;9;11;12;15;16,rf,18,92,0.8478260869565217,0.849942396313364,0.8176154064004532,0.8493075035063112
2,44,7,3;6;9;11;12;15;16,mlp,18,92,0.8152173913043478,0.809353626595006,0.7779670641680863,0.8111127560078085
2,44,9,1;3;5;6;9;11;12;15;16,svm,18,92,0.8804347826086957,0.8806451612903227,0.8565759637188208,0.8805820476858345
2,44,9,1;3;5;6;9;11;12;15;16,knn,18,92,0.8586956521739131,0.8556227598566308,0.8304988662131519,0.8565446275518155
2,44,9,1;3;5;6;9;11;12;15;16,rf,18,92,0.8695652173913043,0.8693742930987746,0.8436703483432455,0.8694315703865334
2,44,9,1;3;5;6;9;11;12;15;16,mlp,18,92,0.8260869565217391,0.8184809841622966,0.7913240714488234,0.8207627758701294
2,44,11,1;3;4;5;6;9;10;11;12;15;16,svm,18,92,0.8369565217391305,0.83888343620726,0.804477189005384,0.838305361866821
2,44,11,1;3;4;5;6;9;10;11;12;15;16,knn,18,92,0.8478260869565217,0.8458845273954383,0.8176154064004532,0.8464669952637632
2,44,11,1;3;4;5;6;9;10;11;12;15;16,rf,18,92,0.8260869565217391,0.8170946897820711,0.7917963224893918,0.8197923698039715
2,44,11,1;3;4;5;6;9;10;11;12;15;16,mlp,18,92,0.8804347826086957,0.877315644125989,0.8566166052706149,0.8782513856708009
2,44,13,1;2;3;4;5;6;8;9;10;11;12;15;16,svm,18,92,0.8043478260869565,0.8062752337988711,0.7655719139297847,0.8056970114852966
2,44,13,1;2;3;4;5;6;8;9;10;11;12;15;16,knn,18,92,0.8369565217391305,0.8334014161220044,0.804643261608154,0.8344679478071422
2,44,13,1;2;3;4;5;6;8;9;10;11;12;15;16,rf,18,92,0.8152173913043478,0.8080374826698357,0.7787835926449789,0.8101914552601892
2,44,13,1;2;3;4;5;6;8;9;10;11;12;15;16,mlp,18,92,0.8043478260869565,0.7926655719759168,0.7657708628005657,0.7961702482092288
3,45,5,3;6;9;12;15,svm,18,92,0.7282608695652174,0.7173266045548655,0.6743132257150949,0.720606884057971
3,45,5,3;6;9;12;15,knn,18,92,0.6521739130434783,0.6178559791463017,0.5799086757990868,0.6281513593154547
